eid	title	author	firstpage	lastpage	pages
E-14	Energy Modulated Beam Injection at the {Argonne} Zero Gradient Synchrotron	W. Myers	426	429	426-429
E-15	Calculation of the Depolarization of an Initially Polarized Beam in the {Los Alamos} Linac	R. M. Mobley	430	432	430-432
E-16	Round Table Discussion on Space Charge and Related Effects	L. Smith and R. W. Chasman and K. R. Crandall and R. L. Gluckstern and T. Nishikawa and J. Haimson and P. M. Lapostolle	433	444	433-444
F-1	A New Interpretation of Structure Compensation	G. Dôme and P. M. Lapostolle	445	456	445-456
F-2	Triperiodic Structure	B. Epsztein and D. T. Tran	457	470	457-470
F-3	Analysis of Equivalent Circuits for Linac Tanks	G. E. Lee-Whiting	471	474	471-474
F-4	Measurements of Field Stability Against Perturbations in Non-Uniform Linac Structures	G. Dôme and I. White	475	498	475-498
F-5	Field Perturbations in the Post Coupled Drift Tube Linac	E. J. Schneider and D. A. Swenson	499	511	499-511
F-6	An Improved Method for Calculating Proton Linac Cavities	M. Martini and D. J. Warner	512	522	512-522
F-7	Optimization of Alternating-Periodic Iris-Loaded Deflectors for Superconducting {RF} Beam Separators	H. Hahn	523	532	523-532
F-8	Linac Cavity Field Calculations	G. E. Lee-Whiting	533	536	533-536
F-9	A Mesh-Iteration Program for Field Calculations in Linac Cavities	G. Parzen	537	542	537-542
F-10	Model Cavity Studies for Tank Design and on Tank Fabrication	H. Baba and H. Hirakawa and T. Nishikawa and S. Okumura and J. Tanaka and Y. Tao	543	556	543-556
F-11	Studies of a Slotted Iris Structure (Dispersion Curve, Coupling, Flatness, and Electron Analog Experiment)	H. Eschelbacher and M. Kuntze and D. Schinzel and J. Vetter	557	564	557-564
F-12	Field Measurements of Variable β Multi-Stem Accelerating Structure	S. T. Giordano and J. Hannwacker	565	569	565-569
F-13	A Preliminary Study of the {TS} Zero Mode and its Role in Field Flattening of Multi and Tunable Stem Accelerating Structures	S. T. Giordano and J. Hannwacker	570	578	570-578
F-14	Field Stabilization in Periodic Systems	D. Carter	579	582	579-582
F-15	Round Table Discussion of {RF} Structures	E. A. Knapp and D. A. Swenson and A. Carne and G. Dôme and S. T. Giordano and C. W. Owen	583	599	583-599
G-1	Future Factory Type Accelerators	W. B. Lewis	600	605	600-605
G-2	The Electron Ring Accelerator	A. M. Sessler	606	607	606-607
G-3	Status of the Intense Neutron Generator Study Programme	P. R. Tunnicliffe and A. G. Ward	608	621	608-621
G-4	Linear Accelerator for Unstable Particles	D. E. Nagle	622	625	622-625
G-5	A {3 MeV} Experimental Proton Linac: Design, Construction and Proposed Experiments	E. Boltezar and H. F. Malthouse and D. J. Warner	626	634	626-634
G-6	Design and Initial Performance of a {20 MeV} High Current Side Coupled Cavity Electron Accelerator	E. A. Knapp and W. J. Shlaer	635	659	635-659
G-7	The New {SATURNE} Injector Status Report on the {20 MeV} Linac	J. M. Lefèbvre and M. Promé	660	672	660-672
G-8	Recent Developments at {SLAC}	R. H. Helm and G. A. Loew and R. H. Miller and R. B. Neal	673	693	673-693
G-9	{CERN - PS} {50 MeV} Linac Progress Report	C. S. Taylor and F. Block and F. Chiari and J. Huguenin and P. Têtu	694	705	694-705
G-10	Report on the {ITEP} {24.6 MeV} and {Serpukhov} {100 MeV} Linacs	C. S. Taylor	706	712	706-712
H-1	The {Astron} Linear Accelerator	J. W. Beal	713	723	713-723
H-2	Improvements to the {Berkeley} {HILAC}	J. M. Haughian	724	734	724-734
H-3	Study of a Variable Energy Heavy Ion Linear Accelerator	Ch. Schmelzer	735	744	735-744
H-4	Electric Quadrupole Focusing in Linear Ion Accelerators	K. Blasche and R. Friehmelt and K. Kaspar and Ch. Schmelzer and U. Wolfangel	745	754	745-754
H-5	Progress Report on the Investigations of Superconducting Structures at {Karlsruhe}	H. Schopper	755	764	755-764
H-6	Investigation of Additional Losses of Superconducting Cavities Due to Field Dependent Effects at High Levels	W. Kühn	765	769	765-769
H-7	$Q$-Measurements in Superconducting Lead Cavities at {800 MHz}	F. Flécher and J. Halbritter and R. Hietschold and P. Kneisel and L. List and O. Stoltz	770	773	770-773
H-8	$Q$-Measurements of Superconducting Cavities at {2.868 GHz}	H. Hahn and H. J. Halama	774	774	774
H-9	Non-Cryogenic High Duty Cycle Electron Linear Accelerators	J. Haimson	775	802	775-802
