eid	title	author	firstpage	lastpage	pages
3200	High Energy Polarized Deuterons at the {Argonne National Laboratory} {Zero Gradient Synchrotron}	E. F. Parker and F. E. Brandeberry and E. A. Crosbie and M. J. Knott and C. W. Potts and L. G. Ratner and P. F. Schultz and D. E. Suddeth	3200	3202	3200-3202
3203	The Possibility of Acceleration of Polarized Protons in the {Broookhaven} {AGS}	D. G. Crabb and B. Cork and E. D. Courant and A. Feltman and A. D. Krisch and E. F. Parker and L. G. Ratner and R. D. Ruth and K. M. Terwilliger	3203	3205	3203-3205
3206	A {1–12 GeV/c} Beam Transport for Transverse or Longitudinally Polarized Protons	E. P. Colton	3206	3208	3206-3208
3209	Crossing of Depolarization Resonances in Strongly Modulated Structures	E. Grorud and J. L. Laclare and G. Leleux	3209	3211	3209-3211
3212	Jumping an Intrinsic Depolarization Resonance in Synchrotrons	A. Turrin	3212	3214	3212-3214
3215	The Variable Energy Polarized Proton Beam at {TRIUMF}	J. L. Beveridge and M. K. Craddock and G. Dutto and G. H. Mackenzie and C. Oram and L. W. Root and G. Roy and P. W. Schmor	3215	3217	3215-3217
3218	Improved Beam Quality at {TRIUMF}	E. W. Blackmore and M. K. Craddock and G. Dutto and D. A. Hutcheon and C. J. Kost and R. Liljestrand and G. H. MacKenzie and C. A. Miller and J. G. Rogers and P. W. Schmor	3218	3220	3218-3220
3221	Proposed Transfer Beamline for the {NAC}	J. C. Cornell and C. M. Merry	3221	3223	3221-3223
3224	{1.5 GeV/c} Multiturn Shaving Extraction and Its Transport Line for the {Brookhaven} {AGS}	W. T. Weng and L. N. Blumberg and E. Egleman and E. Gill and J. LoSecco and A. Soukas and L. Sulak and R. L. Witkover	3224	3227	3224-3227
3228	Fast Resonant Extraction from the {CERN} {SPS}	K. H. Kissler and J. Riche and W. Scandale and G. Schröder	3228	3230	3228-3230
3231	Acceleration in the {CERN-SPS} — Present Status and Future Developments	D. Boussard and G. Dome and T. P. R. Linnecar	3231	3233	3231-3233
3234	A Project to Operate the {CERN} {Intersecting Storage Ring (ISR)} with Antiprotons	P. J. Bryant	3234	3236	3234-3236
3237	The Electron Beam for the Fermilab Electron Cooling Experiment	W. B. Herrmannsfeldt and W. Kells and P. M. McIntyre and F. Mills and J. Misek and L. Oleksiuk	3237	3240	3237-3240
3241	Injection, Magnet, and Vacuum Systems for the {Fermilab} Antiproton Cooling Ring	J. C. Gannon and E. R. Gray and J. Klen and F. E. Mills and C. D. Moore and T. Rhoades and S. Snowdon and D. E. Young	3241	3243	3241-3243
3244	{PIA}, the Positron Intensity Accumulator for the {PETRA} Injection	A. Febel and G. Hemmie	3244	3245	3244-3245
3246	The {Stanford} Superconducting Recyclotron	C. M. Lyneis and M. S. McAshan and R. E. Rand and H. A. Schwettman and T. I. Smith and J. P. Turneaure	3246	3248	3246-3248
3249	{A.L.A.} — A {1.2 GeV} High Luminosity Electron-Positron Storage Ring Design Study	M. Bassetti and M. E. Biagini and R. Boni and A. Cattoni and V. Chimenti and S. Guiducci and G. Martinelli and M. A. Preger and C. Sanelli and M. Serio and S. Tazzari and F. Tazzioli	3249	3251	3249-3251
3252	Superconducting Accelerating Cavities for High Energy {e⁺-e⁻}-Storage Rings	W. Bauer and A. Brandelik and A. Citron and W. Lehmann and L. Szecsi and M. Yoshioka	3252	3254	3252-3254
3255	Pulsed {RF} Systems for Large Storage Rings	P. B. Wilson	3255	3257	3255-3257
3258	Electron-Proton Colliding Beams at {Fermilab}	A. G. Ruggiero	3258	3260	3258-3260
3261	A Superconducting Proton Storage Ring for {PEP}	A. A. Garren and E. L. Molishever and J. M. Peterson and R. C. Sah	3261	3263	3261-3263
3264	{MIMAS}: Project of Low Energy Accumulator-Injector for {Saturne}	J. Faure and J. L. Laclare and G. Leleux and M. Olivier and A. Ropert	3264	3267	3264-3267
3268	{PEP} Computer Control System	{PEP I&C Group} and {PEP Theory Group}	3268	3271	3268-3271
3272	The Improvement Project for the {CPS} Controls	G. Baribaud and S. Battisti and J. P. Benincasa and J. Boillot and M. Boutheon and R. Calliau and B. Carpenter and J. Cuperus and G. Daems and A. Daneels and R. Debordes and P. Heymans and I. Kamber and H. Kugler and B. Kuiper and F. Perriollat and J. P. Potier and W. Remmer and C. Serre and P. Skarek and Van Der Schueren, A.	3272	3274	3272-3274
3275	The {CESR} Control System	R. Littauer and S. E. Ball and R. G. Helmke and S. B. Peck and D. H. Rice	3275	3277	3275-3277
3278	Suggested Principles for the Control of Future Accelerators	J. Altaber and F. Beck and M. C. Crowley-Milling and R. Rausch	3278	3280	3278-3280
3281	Damping of Coherant Transverse Oscillations in {PETRA}	K. Wille	3281	3283	3281-3283
3284	The Damper for the Transverse Instabilities of the {SPS}	R. Bossart and L. Burnod and J. Gareyte and V. Rossi and B. de Raad	3284	3286	3284-3286
3287	A Longitudinal Feedback System for {PEP}	M. A. Allen and M. Cornacchia and A. Millich	3287	3290	3287-3290
3291	Time-Resolved Energy Measurements at {LAMPF}	D. A. Clark and H. C. Bryant and J. B. Donahue and C. A. Frost and M. E. Hamm and R. W. Hamm and D. W. Hudgings and M. W. McNaughton and J. C. Pratt and M. A. Yates-Williams	3291	3293	3291-3293
3294	{BEAMSCOPE} — A Novel Device for Measuring Emittances and Betatron Amplitude Distributions	H. Schoenauer	3294	3296	3294-3296
3297	An Electron Beam Spectrum Monitor using Synchrotron Light	D. Reagan and T. E. Hostetler	3297	3299	3297-3299
3300	Electron Beam Diagnostic in the {Fermilab} Electron Cooling Experiment	W. Kells and P. M. McIntyre	3300	3301	3300-3301
3302	Proton Beam Diagnostics in the {Fermilab} Electron Cooling Experiment	D. B. Cline and C. D. Curtis and E. R. Gray and K. Jankowski and D. E. Johnson and W. Kells and F. E. Mills and M. F. Shea	3302	3303	3302-3303
3304	Control System for the {Holifield} Heavy Ion Research Facility Beam Buncher	N. F. Ziegler	3304	3306	3304-3306
3307	Interface Hardware for {CESR} Control System	R. G. Helmke and S. E. Ball and D. H. Rice	3307	3309	3307-3309
3310	Microprocessor-Based Control for Independently-Phased {RF} Linac Cavities	J. W. Dawson	3310	3312	3310-3312
3313	Microprocessor Based Beam Loss Monitor System for the {AGS}	R. L. Witkover	3313	3315	3313-3315
3316	The Microprocessor-Based Control Facility of the He Refrigerator System used in the {1000 GeV} {Fermilab} Switchyard	A. F. Tummillo and R. A. Andrews and J. McCarthy and E. R. Oetting	3316	3318	3316-3318
3319	Integration of Existing Dissimilar Power Supply Controls into a Standardized Equipment-Orientated Control System	E. Asseo and G. Baribaud and M. Bouthéon and I. Kamber and H. Kugler and F. Völker	3319	3321	3319-3321
3322	Computer Control System of Main Ring Magner Power Supply for the {KEK} {12 GeV} {PS}	T. Kubo and H. Baba and A. Kabe and A. K. Kitagawa and S. Matsumoto and H. Sato and S. Shibata	3322	3324	3322-3324
3325	Control of Beam Line Magnets by the {CAMAC} Serial Highway	S. Kurokawa and H. Hirabayashi and N. Kurihara and M. Nakamura and M. Takasaki and A. Yamamoto and K. Yamanaka	3325	3327	3325-3327
3328	Closed Orbit Control System for Main Ring of {KEK-PS}	K. Endo and A. Ando	3328	3330	3328-3330
3331	Minicomputer Assisted Function Generator for the Dynamic Control of Chromacity Correction Sextupoles	K. Endo	3331	3333	3331-3333
3334	Computer Controlled Beam Local Radial Perturbation and Rotation in {CERN} {PS}	V. Chohan	3334	3336	3334-3336
3337	Modifications to the {Fermilab} Booster-Main Ring Beam Transfer Phase Lock Circuit	J. F. Bridges	3337	3339	3337-3339
3340	Automatic Procedures in the {CPS} Multiturn Shaving Ejection	A. Krusche and H. Riege and G. C. Schneider	3340	3342	3340-3342
3343	Single Feedback Systems for Simultaneous Damping of Horizontal and Longituninal Coherant Oscillations	A. W. Chao and P. L. Morton and J. R. Rees	3343	3345	3343-3345
3346	{30 A} Beam Toroid	R. A. Sanders and R. S. Konecny	3346	3348	3346-3348
3349	A Noninteractive Beam Position and Size Monitor for Heavy Ions	J. M. Bogaty	3349	3351	3349-3351
3352	On-Line $Q$ Measurement during Phase Displacement Acceleration in the {CERN} {ISR}	D. Kemp and E. Peschardt and A. Vaughan	3352	3354	3352-3354
3355	Test of {SEC} Stability in High Flux Proton Beams	V. Agoritsas and R. L. Witkover	3355	3357	3355-3357
3358	Beam Size Measurement of {12 GeV} Accelarator by Fast Rotary Scraper	H. Ishimaru and Z. Igarashi and H. Nishimura and S. Shibata	3358	3360	3358-3360
3361	Improvement of a Beam Position Monitor for $ΔR$ Feedback on {RF} System	H. Ishimaru and M. Kondoh and S. Shibata	3361	3363	3361-3363
3364	New Wall Current Beam Position Monitor	K. Satoh	3364	3366	3364-3366
3367	Beam Diagnostics with Wall Current Monitor	H. Nakagawa and H. Ishimaru and S. Shibata	3367	3369	3367-3369
3370	The Intensity Monitor Device for {PETRA}	W. Radloff	3370	3372	3370-3372
3373	A Broadrange Beam Signal Limiter for the {Fermilab} Booster	Higgins, Jr., E. F.	3373	3375	3373-3375
3376	Monitor 1979	D. L. Grisham and E. L. Ekberg and J. E. Lambert and R. E. Meyer and P. J. Stroik and M. D. Wickham	3376	3378	3376-3378
3379	First Experience with the {PETRA} Control System	H. Frese and U. Gloer and H. Haller and G. Hochweller and K. Holm and J. Kewisch and W. Krehlok and J. Maass and J. F. Peters and R. Schmitz and R. Stadtmueller and H. Wagner	3379	3381	3379-3381
3382	Tools for Man Machine Communication in the {PETRA} Control System	G. Hochweller and H. Frese	3382	3384	3382-3384
3385	The Serial Data Acquisition System at {PETRA}	H. Frese and G. Hochweller	3385	3386	3385-3386
3387	Distributed Control System for the {National Synchrotron Light Source}	K. Batchelor and B. B. Culwick and J. Goldstick and J. Sheehan and J. Smith	3387	3388	3387-3388
3389	Isochronization Studies of the {IUCF} {200 MeV} Cyclotron	D. L. Friesel and J. C. Collins and W. P. Jones	3389	3391	3389-3391
3392	The Addition of Local Intelligence to the {ISR} Control System	C. R. C. B. Parker	3392	3394	3392-3394
3395	The {CERN} {ISR} Control Scheme for Acceleration by Phase Displacement	E. Ciapala and R. Keyser and S. Myers	3395	3397	3395-3397
3398	The Computer-Control-System of the {Heidelberg} Postaccelerator	R. Repnow and H. Ingwersen and E. Jaeschke and H. Kandler and T. Walcher	3398	3400	3398-3400
3401	Operating Experience with the {VICKSI} Computer Control System	W. Busse and H. Kluge	3401	3404	3401-3404
3405	Information from Beam Response to Longitudinal and Transverse Excitation	J. Borer and G. Guignard and A. Hofmann and E. Peschardt and F. Sacherer and B. Zotter	3405	3408	3405-3408
3409	The High Frequency Longitudinal and Transverse Pick-Ups in the {CERN} {SPS} Accelerator	T. P. R. Linnecar	3409	3411	3409-3411
3412	Secondary Emission Monitors at the {Bevatron-Bevalac}	J. J. Barale and K. C. Crebbin and J. W. Lax and R. M. Richter and E. Zajec	3412	3414	3412-3414
3415	Tests of a New Seconday Emission Chamber at the {AGS}	P. Yamin and L. Repeta	3415	3416	3415-3416
3417	Recent Improvements in Beam Diagnostic Instrumentation	O. R. Sandler and R. A. Jameson and R. D. Patton	3417	3419	3417-3419
3420	High Intensity Beam Profile Monitors for the {LAMPF} Primary Beam Lines	E. W. Hoffman and J. Bridge and J. Caine and A. Harvey and D. Lee and R. J. Macek and van Dyck, O.	3420	3422	3420-3422
3423	Beam Position Monitor using a Single Cavity	J. McKeown	3423	3425	3423-3425
3426	Beam Detector Assembly for the {Fermilab} Energy Doubler	E. F. Higgins and T. H. Nicol	3426	3429	3426-3429
3430	Secondary Beam Line Phase Space Measurement and Modeling at {LAMPF}	R. Floyd and J. Harrison and R. Macek and G. Sanders	3430	3432	3430-3432
3433	Versatile {H⁺} Beam Chopper System at {LAMPF}	J. S. Lunsford and R. F. Bentley and G. P. Lawrence	3433	3435	3433-3435
3436	Subnanosecond Chopper-Buncher System for Heavy Ions	I. Ben-Zvi and D. Bernstein and M. Birk and H. Feldman and Y. Gal and J. S. Sokolowski	3436	3438	3436-3438
3439	Current to Frequency Converter for Digitization of Millisecond Beam Signals	A. R. Donaldson	3439	3441	3439-3441
3442	A Single-Crate Stand-Alone {CAMAC} Control System for a Negative Ion Source Test Facility	R. C. Juras and N. F. Ziegler	3442	3444	3442-3444
3445	Applications of Distributed Microprocessors in the {CESR} Control System	D. B. Reaves and F. W. Dain and R. Helmke	3445	3447	3445-3447
3448	A Microprocessor Based Beam Intensity and Efficiency Display System for the {Fermilab} Accelerator	R. Biwer	3448	3450	3448-3450
3451	Doubler-Tevatron {μP} Quench Protection System	R. H. Flora and G. S. Tool	3451	3455	3451-3455
3456	Experiments on Stochastic Cooling in {ICE (Initial Cooling Experiment)}	G. Carron and H. Herr and H. Koziol and F. Krienen and G. Lebee and D Möhl and G. Petrucci and C. Rubbia and F. Sacherer and B. Sadoulet and G. Stefanini and L. Thorndahl and T. Wikberg and van der Meer, S.	3456	3461	3456-3461
3462	The Linear Accelerator Structures with Space-Uniform Quadrupole Focusing	I. M. Kapchinskij and N. V. Lazarev	3462	3468	3462-3468
3469	{RF} Quadrupole Beam Dynamics	R. H. Stokes and K. R. Crandall and J. E. Stovall and D. A. Swenson	3469	3471	3469-3471
3472	High Energy Electron Beam Cooling to Improve the Luminosity and Lifetime in Colliding Beam Machines	D. Cline and A. Garren and H. Herr and F. E. Mills and C. Rubbia and A. Ruggiero and D. Young	3472	3475	3472-3475
3476	Enhanced Resistive Wall Instability for Off-Centered Beams	E. D. Courant and M. Month and C. Pellegrini and J. M. Wang	3476	3479	3476-3479
3480	Single Beam Instabilities in {PETRA}	R. D. Kohaupt	3480	3481	3480-3481
3482	Estimate of Spin Polarization for the Electron Storage Rings {SPEAR} and {PEP}	A. W. Chao	3482	3483	3482-3483
3484	Acceleration and Storage of a Dense Single Bunch in the {CERN} {SPS}	D. Boussard and L. Evans and J. Gareyte and T. Linnecar and W. Mills and E. J. N. Wilson	3484	3486	3484-3486
3487	Measurement of Momentum Cooling Rates with Electron Cooling at {NAP-M}	V. V. Parchomchuk and D. V. Pestrikov and A. C. Ruggiero	3487	3489	3487-3489
3490	A Second-Order Magnetic Optical Achromat	K. L. Brown	3490	3492	3490-3492
3493	Dispersion Suppression with Missing Magnets in a {FODO} Structure - Application to the {CERN} Antiproton Accumulator	B. Autin	3493	3495	3493-3495
3496	The Sensitivity of the {PEP} Beam Transport Line to Perbutations	J. M. Peterson and K. L. Brown	3496	3498	3496-3498
3499	The Revised Skew Quadrupole System for Coupling Compensation in the {CERN} {Intersecting Storage Rings (ISR)}	P. J. Bryant	3499	3501	3499-3501
3502	A Proposed Orbit and Vertical Dispersion Correction System for {PEP}	E. Close and M. Cornacchia and A. King and M. J. Lee	3502	3504	3502-3504
3505	Improved Analytic Starting Points for Beam Matching Problems to be Solved on Digital Computers	Meads, Jr., P. F.	3505	3507	3505-3507
3508	Linac Particle Tracing Simulations	W. P. Lysenko	3508	3510	3508-3510
3511	Stable Particle Motion in a Linear Accelerator with Solenoid Focusing	E. A. Wadlinger	3511	3513	3511-3513
3514	A Computer Code for the Calculation of Beam Stability in Circular Electron Machines	A. Hofmann and K. Hübner and B. Zotter	3514	3516	3514-3516
3517	Insertion Design for {e⁺e⁻} Storage Rings	A. Hutton	3517	3519	3517-3519
3520	Optimization of Luminosity for {e-p} Collisions	A. Hutton	3520	3522	3520-3522
3523	Energy Losses of an Electron Bunch Moving Along the Axis of a Circular Waveguide with Periodically Perturbed Wall	M. Chatard-Moulin and A. Papiernik	3523	3525	3523-3525
3526	Bunches with Local Elliptic Energy Distribution	A. Hofmann and F. Pedersen	3526	3528	3526-3528
3529	The Efficiency of Acceleration by Phase Displacement in the Presence of {RF} Noise	S. Myers and E. Peschardt	3529	3531	3529-3531
3532	Beam Loss in Initial Acceleration Process of {KEK} Booster	Y. Miyahara and T. Kawakubo	3532	3534	3532-3534
3535	Analysis of Tranverse Coherant Instability in {KEK} Booster	Y. Miyahara	3535	3537	3535-3537
