eid	title	author	firstpage	lastpage	pages
CI-03	The {Milan} Superconducting Cyclotron Project	E. Acerbi and F. Aghion and F. Alessandria and G. Baccaglioni and G. Bellomo and C. Birattari and C. De Martinis and E. Fabrici and C. Pagani and F. Resmini and L. Rossi and A. Salomone and L. Serafini and L. Troiano and G. Varisco and V. Venturini	169	176	169-176
CI-04	Status Report on {SUSE}	W. Schott	177	190	177-190
CC-01	Status Report on the {500 MeV} Cyclotron	P. S. Miller and {the MSU Staff}	191	196	191-196
CC-02	Status Report on the {800 MeV} Cyclotron	M. L. Mallory and {the MSU Staff}	197	202	197-202
CC-03	{IPN} {Orsay} Project - First Machine Design Studies	A. Laisné	203	208	203-208
CC-04	High Energy Superconducting Cyclotrons	M. K. Craddock and C. J. Kost and G. H. Mackenzie and J. R. Richardson	209	212	209-212
CP-01	Status of the {Texas} {A&M} Coupled Cyclotron Project	B. Launé and D. P. May and R. C. Rogers and D. H. Youngblood	213	216	213-216
CP-02	The {Strasbourg} Superconducting Coil Cyclotron Project	M. S. Antony and J. Britz and J. B. Bueb and J. Denimal and G. Frick and H. Gasser and G. Gaudiot and A. Helleboid and J. M. Helleboid and J. Heugel and J. Hoffmann and M. A. Molinari and C. Muller and R. Rebmeister and P. Volmer and P. Wagner	217	220	217-220
CP-03	{SULEICKA}: A Proposal for a Superconducting Light Ion Cyclotron at {Karlsruhe}	H. Schweickert	221	224	221-224
CP-04	Superconducting Conversion of the {Oak Ridge Isochronous Cyclotron}	J. A. Martin and J. B. Ball and J. K. Ballou and R. L. Brown and W. H. Gray and E. D. Hudson and R. S. Lord and C. A. Ludemann and S. W. Mosko and S. W. Schwenterly and T. A. Welton and P. S. Litherland and G. S. McNeilly and T. P. Cleary	225	230	225-230
DI-01	Ion Sources for Cyclotrons	D. J. Clark	231	240	231-240
DI-02	Axial Injection Systems for Cyclotrons	G. H. Ryckewaert	241	248	241-248
DC-01	{HISKA}, Status Report and First Injection of {ECR} Produced Ions into the {Karlsruhe} Cyclotron	V. Bechtold and L. Friedrich and H. Schweickert	249	254	249-254
DC-02	Polarized Ion Source Development at {TRIUMF}	P. F. Bosman and M. McDonald and P. W. Schmor	255	260	255-260
DC-03	The Beam Handling and Axial Injection System for the Project {ISIS} at {JULIC}	R. K. Bhandari and J. Reich	261	266	261-266
DC-04	The Axial Injection System at the {KVI}	Van Asselt, W. K. and O. C. Dermois and A. G. Drentje and H. W. Schreuder	267	272	267-272
DP-01	Development of a Small Cold Cathode Type Pig Heavy Ion Source for the {Tohoku} {AVF} Cyclotron	T. Shinozuka and M. Fujioka and K. Kotajima and T. Yamaya and Y. Sakurada	273	276	273-276
DP-02	{RF} Field Effects on the Cyclotron {ARC} Source	D. A. Lind and Benage, Jr., J. F. and R. E. Rodenburg and R. A. Stern	277	280	277-280
DP-03	The {ECREVIS} Source: A Status Report	Y. Jongen and C. Pirart and G. H. Ryckewaert	281	284	281-284
DP-04	The {ECR}-Source for the Project {ISIS} at {JULIC}	H. Beuscher and H.-G. Mathews and C. Mayer-Böricke and J. Reich	285	288	285-288
DP-05	The {H⁻} Source for the High Intensity Beam at {TRIUMF}	R. Baartman and P. F. Bosman and R. E. Laxdal and P. W. Schmor and D. Yuan	289	292	289-292
DP-06	Polarization Programme at the {University of Manitoba} Cyclotron Facility — Progress Report	S. Oh and J. Birchall and I. Gusdal and A. McIlwain and J. S. C. McKee and R. Pogson and de Jong, M.	293	296	293-296
DP-07	New Measurements about Carbon Foil Behaviour Under Heavy Ion Bombardment	G. Frick and J. M. Helleboid and B. Heusch and A. Niemeskern and P. Wagner and E. Baron and C. Ricaud	297	298	297-298
DP-08	Calculations of Equilibrium Thicknesses of Charge-Exchange Targets in Accelerator Devices	I. S. Dmitriev and E. A. Kralkina and V. S. Nikolaev and Ya. A. Teplova and V. P. Zaikov	299	302	299-302
DP-09	{ORIC} Stripping Foil Positioner for Tandem Beam Injection	C. A. Ludemann and R. M. Beckers and B. J. Casstevens and D. L. Haynes and E. D. Hudson and F. Irwin and R. S. Lord and S. W. Mosko	303	306	303-306
DP-10	A Possible Design of an Axial Injection System into the Proposed Superconducting Cyclotron at {Orsay}	J. P. Schapira	307	310	307-310
DP-11	Helical Axial Injection Concept for Cyclotrons	E. D. Hudson	311	316	311-316
EI-01	Recent Developments on Beam Dynamics in Cyclotrons	P. Lapostolle	317	326	317-326
EI-02	Phase-Space Matching Between Pre-Accelerators and Cyclotrons	G. Hinderer	327	336	327-336
EI-03	High Intensity Problems in Cyclotrons	W. Joho	337	348	337-348
EC-01	The Effects of Noise and Buncher Nonlinearities in the Production of Very Short Beam Bunches	W. G. Davies	349	354	349-354
EC-02	Beam Diagnostics at the Hamburg Isochronous Cyclotron by Ion Time-of-Flight Measurements	H. Krause and R. Langkau and W. Peters and N. Schirm and W. Scobel	355	358	355-358
EC-03	Use of the Radio-Frequency Quadrupole Structure as a Cyclotron Axial Buncher System	R. W. Hamm and D. A. Swenson and T. P. Wangler	359	364	359-364
EC-04	Some Aspects of the {100 μA} Operation of the {SIN} Injector Cyclotron	G. Heidenreich and Th. Stammbach	365	370	365-370
EP-01	Main Results of the {SSC}’s Magnetic Field Mapping at {GANIL}	M. Barré and D. Bibet and A. Chabert and A. Daël and C. Eveillard and P. Lapostolle and J. F. Libin and M. Ohayon and J. Sauret	371	374	371-374
EP-02	The Sector Magnet for the {IPCR SSC}	S. Motonaga and T. Fujita and A. Goto and Y. Ikegami and Y. Oikawa and H. Takebe and I. Takeshita and T. Wada	375	378	375-378
EP-03	Magnet Model Studies for a Proposed Ring Cyclotron System at {RCNP}	K. Hosono and M. Inoue and T. Itahashi and I. Miura and A. Shimizu	379	382	379-382
EP-04	Design of Injection, Extraction and Magnetic Fields in {SARA}	J. L. Belmont and G. Bizouard and F. Ripouteau	383	386	383-386
EP-05	The Magnetic Field of the {K500} Cyclotron at {MSU} Including Trim Coils and Extraction Channels	P. S. Miller and H. G. Blosser and D. Johnson	387	390	387-390
EP-06	Superconducting Cyclotron Magnet Coil Short	M. L. Mallory and H. G. Blosser and D. J. Clark and H. Laumer and D. Lawton and P. S. Miller and F. Resmini	391	394	391-394
EP-07	Design of the Magnetic Field for the {Milan} Superconducting Cyclotron	G. Bellomo and De Martinis, C. and L. Serafini	395	398	395-398
EP-08	Design of the Main Coils for the {Milan} Superconducting Cyclotron	E. Acerbi and F. Alessandria and G. Baccaglioni and L. Rossi	399	402	399-402
EP-09	{GANIL} {RF} Systems: Cavities, Transmitters and Coupling System	C. Bieth and B. Ducoudret and G. Dugay and A. Joubert and F. Labussière and S. Kwiatkowski	403	406	403-406
EP-10	{GANIL} {RF} Systems: Feedback Control Systems and Electronics	B. Ducoudret and A. Joubert and F. Labussière	407	410	407-410
EP-11	The {RF} System for the {IPCR SSC}	M. Hara and T. Fujisawa and K. Ogiwara	411	414	411-414
EP-12	{RF} Model Study for a Proposed Ring Cyclotron System at {RCNP}	T. Saito and M. Inoue and I. Miura and A. Shimizu and H. Tamura	415	418	415-418
EP-13	A {MOPA} {RF} System for the {INS} {176 cm} {SF} Cyclotron	K. Sato and M. Fujita and Y. Hirao and Y. Ohshiro and M. Sekiguchi and T. Tanabe and N. Yamazaki	419	422	419-422
EP-14	{RF} System Design of the {Milan} Superconducting Cyclotron	C. Pagani and F. Alessandria and G. Varisco and V. Venturini	423	426	423-426
EP-15	Orbit Dynamics for {AVF} Cyclotrons in Hard-Edge Approximation	N. C. Bhattacharya and A. S. Divatia	427	430	427-430
EP-16	New Proofs for Old Facts in Acceleration Theory	S. Adam	431	434	431-434
EP-17	Beam Dynamics for the {IPCR SSC}	N. Nakanishi and A. Goto and T. Wada and Y. Yano	435	438	435-438
EP-18	Calculation of Injection and Extraction Orbits for the {IPCR SSC}	A. Goto and N. Kishida and N. Nakanishi and T. Wada and Y. Yano	439	444	439-444
EP-19	Crossing the $ν_z = 1$ Resonance in the IUCF Main Stage	D. L. Friesel and J. Dreisbach	445	448	445-448
EP-20	Acceleration of the {Li³⁺} Ions at the {INS} {176 cm} {SF} Cyclotron	T. Tanabe and Y. Hirao and Y. Ohshiro and K. Sato and M. Sekiguchi	449	452	449-452
EP-21	Acceleration of Horizontally Polarized Protons and Deuterons by the {RCNP} Cyclotron	K. Hatanaka and K. Hosono and M. Kondo and N. Matsuoka and T. Saito and H. Sakai and K. Nisimura and H. Shimizu	453	456	453-456
EP-22	Depolarization of {H⁻} Ions in the {TRIUMF} Cyclotron	M. K. Craddock and G. H. Mackenzie and P. W. Schmor	457	460	457-460
EP-23	The Modified Center Region for the Project {ISIS} at {JULIC}	L. Aldea and J. Reich and P. Wucherer	461	464	461-464
EP-24	Design Calculations for the Central Region of the {NSCL} {500 MeV} Superconducting Cyclotron	F. Marti and T. Antaya and M. B. Chen and M. M. Gordon and E. Liukkonen and C. Salgado	465	468	465-468
EP-25	Alteration of the Ion Beam Emittance on the First Orbits in the Cyclotron	A. A. Arzumanov and V. N. Batischev and V. I. Gerasimov and M. S. Gorkovets and A. M. Voronin	469	472	469-472
EP-26	Beam Injection and Extraction System for the {IPCR SSC}	Y. Yano and A. Goto and N. Kishida and S. Motonaga and H. Takebe and T. Wada	473	476	473-476
EP-27	Injection into the Accumulation Ring from the {INS-SF} Cyclotron	Y. Hirao	477	480	477-480
EP-28	Beam Injection and Extraction for the Separated-Sector Cyclotron of the {National Accelerator Centre}	P. F. Rohwer and S. Schneider	481	484	481-484
EP-29	Developments Toward Separated Turns at {TRIUMF}	E. W. Blackmore and D. A. Dohan and G. H. Mackenzie and R. Poirier	485	488	485-488
EP-30	Extraction Efficiency Optimization for the {Eindhoven} {AVF} Cyclotron	J. I. M. Botman and H. L. Hagedoorn and R. F. Kruis	489	492	489-492
EP-31	Extraction of a Beam Made up of Two Spatially Separate Components	C. J. Kost and G. H. Mackenzie	493	496	493-496
EP-32	Extraction System Model Experiments for the {Chalk River} Superconducting Cyclotron	C. R. Hoffmann	497	500	497-500
EP-33	The Extraction System for the Superconducting Cyclotron at the {University of Milan}	E. Fabrici and A. Salomone	501	504	501-504
EP-34	High-Effective Beam Extraction for Ring Cyclotron of High Intensity	V. P. Dmitrievsky and V. V. Kolga and N. I. Polumordvinova	505	508	505-508
EP-35	An Orthogonal Quadrupole System	C. M. Merry and J. C. Cornell	509	512	509-512
EP-36	The {GANIL} Beam Lines	R. Anne and R. Beck and B. Bru and C. Ricaud and Van den Bossche, M.	513	516	513-516
EP-37	Beam Transport System for the {IPCR SSC}	N. Kishida and T. Inamura and H. Saito and T. Wada and Y. Yano	517	520	517-520
EP-38	An Achromatic Beam Transfer System with a Strongly Negative Equivalent Length	P. Roussel and De Coster, J. M.	521	524	521-524
EP-39	Design of a High Intensity {860 keV} Proton Beam Transport Line for the New {SIN} Injector	Ch. Markovits	525	528	525-528
EP-40	Longitudinal Space-Charge-Effects in the {SIN} Injector {II} and the {SIN} Ring Cyclotron	S. Adam and W. Joho and C. J. Kost	529	532	529-532
EP-41	Developments Toward Higher Beam Intensity at {TRIUMF}	R. Baartman and G. Dutto and R. E. Laxdal and G. H. Mackenzie and L. Moritz and P. W. Schmor and M. Zach	533	536	533-536
EP-42	The Vacuum System of the {IPCR SSC}	S. Nakajima and K. Ikegami	537	540	537-540
EP-43	Fast Closing Vacuum Valve Control for Cyclotron Protection	J. Briaud	541	544	541-544
FI-01	Beam Diagnostics Devices for a Wide Range of Currents	P. Strehl	545	554	545-554
FI-02	Advantages and Constraints of Modern Accelerator Control Systems	W. Busse	555	558	555-558
FC-01	A Review of Developments on the {IUCF} Cyclotron Control System	J. C. Collins and T. Bertuccio and D. C. DuPlantis and Wm. Manwaring and L. C. Welch	559	564	559-564
FC-02	Developments in the {TRIUMF} Control System	D. P. Gurd and J. V. Cresswell and D. R. Heywood	565	570	565-570
FC-03	Computer Control at the {KVI} Cyclotron	H. W. Schreuder and B. D. Taenzer	571	574	571-574
FC-04	Computer-Aided Tuning Procedures at the {UNILAC}	L. Dahl	575	580	575-580
FP-01	Status Report on the Neutron Time-of-Flight Facility at the {Hamburg} Isochronous Cyclotron	Y. Holler and R. Langkau and W. Peters and N. Schirm and W. Scobel and R. Wien	581	584	581-584
FP-02	Main Beam Diagnostics at {GANIL}	F. Loyer and R. Anne and R. Berthelot and Y. Georget and J. M. Loyant and M. Promé and Van den Bossche, M.	585	588	585-588
FP-03	Beam Diagnostics and Control at {SARA}	M. Fruneau and G. Campillo and B. Meillon and J. C. Ravel and M. Robin and M. Tournier	589	592	589-592
FP-04	A Beam Phase Measuring System for the {TRIUMF} Cyclotron	R. Burge and R. Vader	593	596	593-596
FP-05	Internal Beam Phase Measurement in the {NIRS-Chiba} Isochronous Cyclotron	Y. Sato and Y. Kumamoto and H. Ogawa and T. Yamada	597	600	597-600
FP-06	Use of Microcomputers in the {IUCF} Control System	J. C. Collins and Wm. Manwaring	601	604	601-604
FP-07	Computer Control for the New Compact Cyclotron-Installation of {Karlsruhe}	J. Bialy and H. Heinzmann and W.-R. Kappel and B. Kögel and H. Schweickert and T. J. Thouw	605	608	605-608
FP-08	The {GANIL} Control System as Seen from the Control Room	P. Bardon and R. Baumgarten and L. Cardin and J. Clément and L. David and P. Duneau and P. Jeannel and E. Lecorché and C. Le Poec and S. Leveel and J. M. Loyant and F. Loyer and T. T. Luong and B. Piquet and C. Ponthieux and M. Promé and G. Rist and M. Ulrich and M. Vassent	609	612	609-612
FP-09	Outline of the Control System for the {Milan} Superconducting Cyclotron	F. Aghion and G. Rivoltella and L. Troiano	613	616	613-616
FP-10	Automatic Parameter Measuring Systems and Control Systems for Cyclotrons	Yu. N. Denisov and V. N. Anosov	617	620	617-620
FP-11	The Radiation Area Interlock System at {IUCF}	J. Hicks and Wm. Manwaring	621	624	621-624
FP-12	The Radiological Safety System in {GANIL}	M. Gallis and G. Tousset and Van den Bossche, M.	625	628	625-628
FP-13	Status of Neutron Shielding for the {IPCR SSC}	S. Fujita and T. Shikata and S. Yamaji	629	634	629-634
GI-01	New Aspects of Nuclear Physics with Heavy Ion Beams Delivered by Cyclotrons	M. Lefort	635	644	635-644
GI-02	Production of Cyclotron Radioisotopes and Radiopharmaceuticals for Medical Use	D. Comar	645	652	645-652
GI-03	Medical Uses of Cyclotrons: Treatment and Diagnosis	D. K. Bewley	653	660	653-660
GI-04	Industrial and Environmental Applications of Cyclotrons	G. Schatz	661	666	661-666
GC-01	Cost Effective Proton Beam Therapy with a Cyclotron	A. M. Koehler	667	672	667-672
GC-02	Cyclotron Production of Fast Neutrons for Therapy	M. A. Chaudhri	673	678	673-678
GC-03	A Heavy Water Target for Fast Neutron Production by Cyclotrons	M. A. Chaudhri and J. C. Clark and C. J. Parnell	679	682	679-682
GP-01	The Yields of Cyclotron Produced Medical Isotopes	M. A. Chaudhri	683	692	683-692
GP-02	Status Report on Radioisotope Production for Biomedical Purposes at {Milan} {AVF} Cyclotron	C. Birattari and M. Bonardi and F. Resmini and A. Salomone	693	696	693-696
GP-03	Iodine-123 Production by Irradiation at the {CNRS} Cyclotron in {Orleans}	G. Goin and J. Vernois and C. Cimetière and J. Léger	697	698	697-698
GP-04	The Production and Imaging of {⁵⁵Co} Labelled Bleomycin	A. M. J. Paans and de Graaf, E. J. and T. Kuilman and O. E. Nieweg and W. Vaalburg and T. Wiegman and M. G. Woldring	699	702	699-702
GP-05	The {Orleans} Neutrontherapy Facility	N. Breteau and R. Sabatier and J. C. Bajard and J. Gueulette	703	706	703-706
GP-06	Results of Measurements of an Isocentric Fast Neutron Therapy Unit with a {42 MeV} Proton Cyclotron System	J. L. Tom and T. Y. T. Kuo and G. O. Hendry	707	710	707-710
GP-07	Some Medical Applications of {Pixe} Using Cyclotron Beam	G. Robaye and P. Bartsch and A. Collignon and J. M. Delbrouck and I. Roelandts and G. Weber and Y.-J. Jian	711	714	711-714
GP-08	The Beam Sharing Project of the {Hammersmith} Cyclotron	G. Burton and M. L. Renton and M. L. Simpson	715	718	715-718
GP-09	The Microprobe at the Hamburg Isochronous Cyclotron — Using High Energy Proton Induced {X}-Ray Fluorescence Radiation	H. Brückmann and H.-W. Boie and U. Schröder and W. Vogel	719	722	719-722
GP-10	Irradiation Technique of Machine Parts for Wear Measurements in Mechanical Engineering	E. Bollmann and P. Fehsenfeld and A. Kleinrahm	723	724	723-724
GP-11	Analysis of Industrial Coke Samples by Activation with Cyclotron Protons	M. A. Chaudhri and M. M. Lee and B. M. Spicer	725	730	725-730
HI-01	Coupling Cyclotrons to Other Machines	R. E. Pollock	731	736	731-736
HI-02	How Could Operational Conditions and Beam Control Devices Make an Experiment Easier, Efficient and More Precise?	J. M. Loiseaux	737	744	737-744
