eid	title	author	firstpage	lastpage	pages
B-17	A Cyclotron Complex for Accelerating Multicharged Ions up to Relativistic Energies	A. A. Vasilyev and Yu. N. Denisov and V. P. Dmitrievsky and V. P. Dzhelepov and A. A. Glazov and V. V. Kolga and N. B. Rubin and N. L. Zaplatin	2024	2029	2024-2029
B-18	103 and {60 cm} Compact Cyclotron Engineering	P. V. Bogdanov and M. S. Davydov and A. N. Galayev and A. V. Gal’chuk and E. B. Krymov and I. F. Malyshev and V. G. Mudrolyubov and G. M. Pavlov and A. V. Stepanov and Yu. I. Stogov	2030	2033	2030-2033
C-01	Invited Paper: The {Chalk River} Superconducting Cyclotron	J. H. Ormrod and C. B. Bigham and K. C. Chan and E. A. Heighway and C. R. Hoffmann and J. A. Hulbert and H. R. Schneider and Q. A. Walker	2034	2039	2034-2039
C-02	Invited Paper: The {Michigan State University} Superconducting Cyclotron Program	H. G. Blosser	2040	2047	2040-2047
C-03	Invited Paper: Model Studies for the Superconducting Cyclotron Project in {Milan}	E. Acerbi and G. Bellomo and M. Castiglioni and de Martinis, C. and E. M. Fabrici and C. Pagani and F. Resmini	2048	2054	2048-2054
C-04	Invited Paper: Status of the {Holifield Heavy Ion Research Facility} Phase {II} Booster	J. B. Ball and E. D. Hudson and R. S. Lord and J. A. Martin and G. S. McNeilly and S. W. Mosko	2055	2060	2055-2060
C-05	Cyclotron Design Studies for a Medical Ion Accelerator	G. U. Behrsing and D. J. Clark and E. H. Hoyer and C. W. Leemann and F. Voelker and R. B. Yourd	2061	2064	2061-2064
C-06	A Ring Cyclotron Kaon Factory	M. K. Craddock and C. J. Kost and J. R. Richardson	2065	2069	2065-2069
C-07	A Proposed Multi-Purpose Separated-Sector Cyclotron at {IPCR}	H. Kamitsubo and J. Fujita and I. Kohno and N. Kumagai and S. Motonaga and H. Nakajima and N. Nakanishi and T. Nomura and K. Ogiwara and H. Takebe and T. Wada and F. Yoshida	2070	2073	2070-2073
C-08	Proposal for a New Ring Accelerator	I. Miura and K. Hosono and M. Inoue and T. Itahashi and M. Kondo and T. Saito and A. Shimizu and S. Yamabe and T. Yamazaki	2074	2077	2074-2077
C-09	Design Characteristics of the $K=800$ Superconducting Cyclotron at {M.S.U.}	F. Resmini and G. Bellomo and H. G. Blosser and E. M. Fabrici and D. Johnson	2078	2085	2078-2085
C-10	Design of the Injection System for the {Chalk River} Superconducting Cyclotron Project	W. G. Davies and A. R. Rutledge	2086	2089	2086-2089
C-11	Injection Studies for the $K=800$ Superconducting Cyclotron at {M.S.U.}	G. Bellomo and E. M. Fabrici and F. Resmini	2090	2094	2090-2094
C-12	A Method for Minimizing Trim Coil Power Requirements in Superconducting Cyclotrons	G. Bellomo and F. Resmini	2095	2100	2095-2100
C-13	Beam Extraction System for the $K=500$ Superconducting Cyclotron	M. M. Gordon and E. M. Fabrici	2101	2106	2101-2106
C-14	Design of the Central Regions for the {MSU} {500 MeV} Superconducting Cyclotron	E. Liukkonen and T. Antaya and J. Bishop and S. Motzny	2107	2110	2107-2110
C-15	Magnetic Field Measurements in the {MSU} {MeV} Superconducting Cyclotron	P. S. Miller and H. G. Blosser and D. Gossman and B. Jeltema and D. Johnson and P. Marchand	2111	2113	2111-2113
C-16	Field Measurements on the {Milan} Superconducting Model Magnet	E. Acerbi and G. Bellomo and C. Birattari and M. Castiglioni and de Martinis, C. and E. M. Fabrici and L. Grillo and F. Resmini and A. Salomone	2114	2119	2114-2119
D-01	Invited Paper: {Electron Cyclotron Resonance (E.C.R.)} Multiply Charged Ion Sources	R. Geller	2120	2127	2120-2127
D-02	Invited Paper: Cryopumping for Cyclotrons	C. Benvenuti	2128	2132	2128-2132
D-03	Invited Paper: {R.F.} Systems	J. Riedel	2133	2137	2133-2137
D-04	Operating Experience With the {Michigan State University} Superconducting Cyclotron Cryogenic System	M. L. Mallory	2138	2141	2138-2141
D-05	The {Chalk River Superconducting Heavy-Ion Cyclotron} {RF} Structure	C. B. Bigham	2142	2145	2142-2145
D-06	Determination of Effective Acceleration Voltages in Cyclotrons Using the Phase Compression - Phase Expansion Effect	S. Adam and J. Cherix and W. Joho and M. Olivo	2146	2150	2146-2150
D-07	Proton Beam Heavy Ion Source	A. Roy and R. H. Davis	2151	2155	2151-2155
D-08	External Ion Sources and Injection Lines at the Bonn Isochronous Cyclotron	M. Agena and K. Euler and B. Franczak and F. Hinterberger and H. D. Rosendaal and H. U. Schmidt	2156	2159	2156-2159
D-09	An Electron Cyclotron Resonance Source for {CYCLONE}	Y. Jongen and C. Pirart and G. Ryckewaert and J. Steyaert	2160	2163	2160-2163
D-10	Recent Developments in High Charge State Heavy Ion Beams at the {LBL} 88-Inch Cyclotron	R. A. Gough and D. J. Clark and L. R. Glasgow	2164	2166	2164-2166
D-11	Report on {EBIS} Development at {Texas} {A&M}	R. A. Kenefick	2167	2170	2167-2170
D-12	A Pulsed Synchrocyclotron Ion Source Using a Single Cold Cathode	W. Diamond and R. C. Cohen and D. W. Storm	2171	2174	2171-2174
D-13	Heavy-Ion Source for the {Texas} {A&M} 88-Inch Cyclotron	Y. Sakurada and S. M. Bielamowicz and G. D. DeHaven and R. L. Haisler and H. W. Peeler and W. J. Walterscheid	2175	2178	2175-2178
D-14	Cryogenic Vacuum Pumping at the {LBL} 88-Inch Cyclotron	D. Elo and D. J. Clark and R. A. Gough and D. Morris	2179	2181	2179-2181
D-15	Model Study of the {RF} Cavity for the Milan Superconducting Cyclotron	C. Pagani and G. Varisco	2182	2185	2182-2185
D-16	The RF System of the Flattop-Acceleration Structure in the {SIN} 590-{MeV} Ring Cyclotron	B. Bischof	2186	2189	2186-2189
D-17	Generation of a High Voltage Trapezoidal Wave Form for a {μs}-Pulsed Beam System at {S.I.N.}	M. Märki and R. Häussler and P. Lanz and H. P. Leber and N. Schmid and U. Schryber	2190	2193	2190-2193
D-18	Design of a Fixed Frequency Delta Resonator with Positive Gradient Radial Voltage Distribution	N. Schmid	2194	2197	2194-2197
D-19	{RF} System for the {RCNP} Cyclotron	I. Miura and T. Saito and A. Shimizu	2198	2201	2198-2201
D-20	Stability Measurements at the {VICKSI} {RF} Systems	W. Pelzer	2202	2204	2202-2204
D-21	New Methods for Stabilizing Dee Voltage and Beam {RF} Phase	H. W. Schreuder and R. J. Vader	2205	2208	2205-2208
D-22	A Multi-Input Phase Measuring System	van Heusden, G. C. L. and W. M. Schulte and R. Ahgren and G. Hinderer	2209	2211	2209-2211
D-23	A Pulse Selection and Shortening System for Cyclotrons	L. R. Carroll and G. O. Hendry and K. D. Jenkins	2212	2215	2212-2215
D-24	Fast Neutron Dose Equivalent Rates in Heavy Ion Target Areas	H. M. Butler and C. B. Fulmer and S. W. Mosko and W. F. Ohnesorge	2216	2219	2216-2219
E-01	Invited Paper: The Medical Applications of Short-Lived, Cyclotron-Produced Radionuclides	R. R. Highfill and B. W. Wieland	2220	2223	2220-2223
E-02	Invited Paper: Practical Requirements for the Treatment of Patients with Cancer	S. J. Arnott and M. Catterall	2224	2228	2224-2228
E-03	Invited Paper: The Role of Charged Particle Activation for Materials Analysis	J. L. Debrun	2229	2235	2229-2235
E-04	A Survey of Some Applications of Cyclotrons	J. L. Need	2236	2240	2236-2240
E-05	Feasibility Study and Design of a Proton Microprobe	M. S. Al-Ghazi and J. S. C. McKee and W. D. Ramsay	2241	2243	2241-2243
E-06	Cyclotron Analysis of {Australian} Atmospheric Contamination Before and After the 1974 {French} Nuclear Tests in the {Pacific}	M. A. Chaudhri and M. M. Lee and J. L. Rouse and B. M. Spicer	2244	2247	2244-2247
E-07	A Facility for Studying Neutron Energy Spectra at Intermediate Energies	C. D. Goodman and C. A. Goulding and M. B. Greenfield and C. C. Foster and J. Rapaport and D. A. Lind	2248	2252	2248-2252
E-08	Clinical Experience with the {160 MeV} Proton Beam and Some Implications for Designers	K. Johnson and A. M. Koehler	2253	2256	2253-2256
E-09	Proton (Heavy Ion) Radiography in Medical Diagnosis	V. W. Steward	2257	2261	2257-2261
E-10	Analysis of Medium and Heavy Elements be Means of {K X-Ray} Fluorescence Induced by {20–50 MeV} Protons	M. S. Al-Ghazi and J. Birchall and J. S. C. McKee and W. D. Ramsay and W. Teoh	2262	2264	2262-2264
E-11	Routine Production of Iodine-123 at the {Karlsruhe} Isochronous Cyclotron	K. H. Assmus and K. Jäger and F. Schulz and R. Schütz and H. Schweickert	2265	2268	2265-2268
E-12	The Production of {¹²³I} and {⁸⁴Rb} at the {University of Manitoba} Cyclotron Laboratory	M. I. Gusdal and J. S. C. McKee and M. Billinghurst and J. B. Sutherland and G. P. Sharma	2269	2270	2269-2270
E-13	The Production of Radionuclides for Medical Application with the {280 cm} {AVF} Cyclotron in {Groningen}	Beerling-Van der Molen, H. D. and de Graaf, E. J. and A. M. J. Paans and S. Reiffers and A. Rijskamp and W. Vaalburg and T. Wiegman and M. G. Woldring	2271	2273	2271-2273
E-14	First Clinical Results Using Short-Lived Radioisotopes Produced by a Medical Cyclotron	J. C. Baron and G. Berger and D. Comar and C. Crouzel and H. Guenard and M. Maziere and A. T. Pokropek and F. Soussaline and M. Verhas	2274	2276	2274-2276
E-15	Therapy Controller Designed for Patient Irradiation at the {SIN} {π⁻}-Applicator	P. Aeschimann and L. Besse and I. Jirousek	2277	2280	2277-2280
E-16	Yields of Cyclotron Produced Medical Isotopes: A Comparison of Theoretical Potential and Experimental Results	M. A. Chaudhri	2281	2286	2281-2286
E-17	The {⁷Li(p,n)⁷Be} Reaction as a Source of Past Neutrons for Smaller Compact Cyclotrons	M. A. Chaudhri and J. L. Rouse and J. Templer	2287	2289	2287-2289
E-18	Rapid Automated Nuclear Chemistry Facility for the Study of Short Lived Fission Products	E. A. Henry and H. G. Hicks and O. G. Lien and R. A. Meyer and P. C. Stevenson	2290	2293	2290-2293
E-19	The Use of Compact Cyclotrons for Producing Fast Neutrons for Therapy in a Rotatable Isocentric Gantry	J. L. Tom	2294	2299	2294-2299
F-01	Invited Paper: The Computer Aided Control System of the {VICKSI} Accelerator	W. Busse	2300	2305	2300-2305
F-02	Invited Paper: Limited Energy Spread in an {SSC}	A. Chabert and G. Gendreau and P. Lapostolle	2306	2311	2306-2311
F-03	Invited Paper: Beam Diagnostic Techniques for Cyclotrons and Beam Lines	G. H. Mackenzie	2312	2319	2312-2319
F-04	Achievement and Control of the {100 μA} Beam at {TRIUMF}	E. W. Blackmore and P. Bosman and R. Burge and G. Dutto and D. Gill and G. H. Mackenzie and P. W. Schmor	2320	2324	2320-2324
F-05	High Quality Beams with Precession Injection	J. Liedorp and van Kampen, W. A.	2325	2328	2325-2328
F-06	Accelerated Particles in an {AVF} Cyclotron with a One or a Two Dee System	H. L. Hagedoorn and W. M. Schulte	2329	2333	2329-2333
F-07	Beam Emittance Measurements with a Dispersion-Matched Magnetic Spectrograph	E. Kashy and P. S. Miller and Nolen, Jr., J. A.	2334	2336	2334-2336
F-08	Computer Control Strategies at {SIN}	J. C. Collins and S. Adam and F. Blumer and D. A. Dohan and U. Rohrer and E. Steiner and P. Ziegler	2337	2340	2337-2340
F-09	Growth of the {IUCF} Control System	T. Bertuccio and J. C. Collins and B. Manwaring and G. Mower and J. Tyson and S. Lewis	2341	2344	2341-2344
F-10	The Cyclotron Corporation Bus-Oriented Computer Control System	G. O. Hendry and K. D. Jenkins and T. H. Knight	2345	2347	2345-2347
F-11	Computer Control of the {M.S.U.} {50 MeV} Cyclotron	J. F. P. Marchand	2348	2350	2348-2350
F-12	Beam Stabilization and Automatic Energy Variation at the {Bonn Isochronous Cyclotron}	K. Euler and P. D. Eversheim and F. Hinterberger and P. von Rossen and B. Schüller	2351	2354	2351-2354
F-13	Automatic Isochronisation and Computer Aided Centering in the {VICKSI} Cyclotron	G. Hinderer	2355	2357	2355-2357
F-14	Setting Up the {SIN} {590 MeV} Ring Cyclotron for Single Turn Extraction	S. Adam and W. Joho	2358	2361	2358-2361
F-15	Automatic Centering and Matching of Cyclotron Beams	S. Adam and J. C. Collins	2362	2365	2362-2365
F-16	Diagnostics, Control and External Beam Optimization by Computer at the {Karlsruhe} Cyclotron	W. Kappel and W. Kneis and B. Kögel and J. Möllenbeck and H. Schweickert and W. Segnitz and Ch. Lehmann and G. Leinweber	2366	2370	2366-2370
F-17	Measurements and Corrections to the Beam Properties in the {TRIUMF} Cyclotron	E. W. Blackmore and M. K. Craddock and G. Dutto and C. J. Kost and G. H. Mackenzie and P. W. Schmor	2371	2374	2371-2374
F-18	Beam Phase Detection with a Fixed Intermediate Frequency System at {JULIC}	W. Bräutigam and J. Reich and M. Herschbach and K. Kennepohl	2375	2378	2375-2378
F-19	A Secondary Emission-Multiwire Chamber for {GANIL} Heavy Ion Beams Tuning	R. Anne and van den Bossche, M.	2379	2380	2379-2380
F-20	A Fast Cyclotron Beam Emittance Measuring Device	H. H. Bissem and H. Brechtel and H. Brückmann and U. Holm and W. Vogel	2381	2383	2381-2383
F-21	Charge Exchange Losses During Cyclotron Acceleration: Experiment and Theory	R. A. Gough and M. L. Mallory	2384	2387	2384-2387
F-22	The Definition and the Use of the Central Position Phase in Cyclotrons	H. L. Hagedoorn and W. M. Schulte	2388	2391	2388-2391
F-23	A Method to Obtain Single Turn Extraction for a Large Phase Width in Cyclotrons	C. J. A. Corsten and H. L. Hagedoorn and W. M. Schulte	2392	2395	2392-2395
F-24	The Beam Bunch Effects in the Circular Isochronous Cyclotron	Yu. G. Basargin and R. N. Litunovsky and V. I. Vasil’ev	2396	2398	2396-2398
F-25	Study of Beam Parameters of {240 cm} Isochronous Cyclotron	V. A. Belyakov and L. E. Korolev and R. N. Litunovsky and O. A. Minyaev	2399	2400	2399-2400
F-26	The Diagnostics of the Beam Phase Characteristics of the {240 cm} Isochronous Cyclotron	V. I. Gordin and R. N. Litunovsky and A. K. Vaganov and V. S. Vasil’ev	2401	2402	2401-2402
F-27	Extraction Efficiency Improvement Through Central Region Studies	J. A. Jungerman and E. Russell and G. Stadel and W. G. Wyckoff	2403	2407	2403-2407
F-28	Isochronism Studies at {IUCF}	D. L. Friesel and W. P. Jones and E. A. Kowalski	2408	2410	2408-2410
F-29	The Beam-Stripper Interaction Studies for {GANIL}	E. Baron	2411	2415	2411-2415
G-01	Invited Paper: Heavy Ion Research with Cyclotrons	D. L. Hendrie	2416	2417	2416-2417
G-02	Invited Paper: What Accelerators for Future Nuclear and Meson Physics?	J. P. Blaser	2418	2419	2418-2419
G-03	Invited Paper: Particle Detection Systems	H. A. Enge	2420	2426	2420-2426
G-04	A Collective Accelerator as Ion Source and Injector for a Heavy-Ion Cyclotron	M. P. Reiser	2427	2431	2427-2431
G-05	The Economic Aspects of Cyclotron Applications: A Case Study at {Crocker Nuclear Laboratory}	T. A. Cahill and J. A. Jungerman	2432	2435	2432-2435
G-06	Future Directions for Isochronous Cyclotrons	J. R. Richardson	2436	1862	2436-1862
H-01	Conference Summary	J. A. Martin	1863	1863	1863
