eid	title	author	pages
CYC63E08	Theoretical Study of Beam Extraction by the Method of Curvilinear Coordinates	F. Fer	222-227
CYC63E09	The Extraction of the Beam of the {Philips} {AVF} Cyclotron	H. L. Hagedoorn and N. F. Verster	228-235
CYC63E10	Orbit Calculations on the Extraction System for the {MSU} Cyclotron	M. M. Gordon and H. G. Blosser	236-242
CYC63E11	Limitations on Duty-Factor Improvement (via Phase-Shifting) Using {H⁻} Ions	M. M. Gordon	243-245
CYC63F01	Progress in the Construction of the {Milan University} Cyclotron	M. Castiglioni and M. Fois and A. Luccio and F. Resmini and C. Succi and G. Tagliaferri	246-250
CYC63F02	Correcting Coils of the {Orsay} 80-Inch Isochronous Cyclotron	A. Cabrespine and M.-P. Bourgarel and Ch. Goldstein	251-255
CYC63F03	RF System of the Orsay Isochronous 80-Inch Cyclotron	A. Cabrespine and Y. Dupuis and C. Bieth	256-261
CYC63F04	{I}. Use of the Hodoscope to Measure the Axial Frequency of Betatron Oscillations; {II}. The Accelerating System of the {Grenoble} Isochronous Cyclotron	H. Leboutet and J. Aucouturier and J. C. Schnuriger	262-269
CYC63F05	Magnet Design for the {MSU} {50 MeV} Cyclotron	H. G. Blosser	270-278
CYC63F06	Radio-Frequency System for the {MSU} Cyclotron	W. P. Johnson	279-285
CYC63F07	The Magnetic Field of a Two-Particle Fixed Energy {AVF} Cyclotron without Trimming Coils	H. L. Hagedoorn and N. F. Verster	286-290
CYC63F08	Performance of the {ORIC} Variable {RF} System	S. W. Mosko and W. H. White and R. E. Worsham	291-296
CYC63F09	{ORIC} Beam Extraction System	R. S. Lord and E. D. Hudson and F. M. Russell and R. J. Jones	297-300
CYC63F10	Deflector Power Supply for Sector-Focused Cyclotrons	B. H. Smith	301-303
CYC63F11	Electrical Design of Electrostatic Deflectors for Sector-Focused Cyclotrons	B. H. Smith and H. A. Grunder	304-310
CYC63F12	Cyclotron Beam Position Sensor	K. Johnson and W. J. Ramler	311-316
CYC63G01	Comparison of Various Circular Accelerators as Meson Factories	J. R. Richardson	317-327
CYC63G02	The Proton Linear Accelerator as a Pion Factory	G. H. Stafford	328-333
CYC63G03	Recent Progress on the {ORNL} {Mc²} Cyclotron	R. J. Jones	334-339
CYC63G04	{H⁻} Cyclotron Meson Factory	R. P. Haddock and J. R. Richardson and B. T. Wright	340-350
CYC63G05	Design of a {720 MeV} Proton {FFAG} Accelerator	F. T. Cole and G. Parzen and E. M. Rowe and S. C. Snowdon and K. R. MacKenzie and B. T. Wright	351-352
CYC63G06	Use of a {10 GeV} High-Intensity Accelerator as a Pion Factory	F. T. Cole and A. Galonsky	353-355
CYC63G07	Spiral-Sector {FFAG} Magnet Design and Field Measurement	S. C. Snowdon and R. S. Christian and del Castillo, G. and  R. W. Fast	356-358
CYC63G08	The Choice of Betatron Oscillation Frequencies in a Spiral-Sector {FFAG} Accelerator	G. Parzen and P. Morton	359-364
CYC63H01	A Very High-Intensity Proton Linear Accelerator as a Meson Factory	E. R. Beringer and W. A. Blanpied and R. L. Gluckstern and V. W. Hughes and H. B. Knowles and S. Ohnuma and G. W. Wheeler	365-371
CYC63H02	Design of Proton Linear Accelerators for Energies up to {300 MeV}	D. E. Young and R. S. Christian and T. W. Edwards and F. E. Mills and D. A. Swenson and van Bladel, J.	372-376
CYC63H03	A Strong-Focusing Cyclotron with Separated Orbits	F. M. Russell	377-385
CYC63H04	Proposal for a {500 MeV} Isochronous Cyclotron with Ring Magnet	H. A. Willax	386-397
CYC63H05	On the Design of the Magnetic Field for a {450 MeV} Proton Machine	W. Müller and W. Wolff	398-404
CYC63H06	Some {RF} Systems for Cyclotron Meson Factories	K. R. MacKenzie	405-409
CYC63H07	Meson Acceleration in Cyclic Machines	R. P. Haddock	410-413
