eid	title	author	firstpage	lastpage	pages
V-10	Phase-Space Representation of Aberrations Due to Longitudinal Fields in Quadrupoles	E. Regenstreif and P. Tanguy	245	249	245-249
V-11	The Effect of Quadrupole Fringing Fields on Coupling in Linacs	R. L. Gluckstern	250	253	250-253
VI-01	Computer Study of Wave Propagation, Beam Loading and Beam Blowup in the {SLAC} Accelerator	R. Helm	254	266	254-266
VI-02	Beam Break-Up Experiments at {SLAC}	O. H. Altenmueller and E. V. Farinholt and Z. D. Farkas and W. B. Herrmannsfeldt and H. A. Hogg and R. F. Koontz and C. J. Kruse and G. A. Loew and R. H. Miller	267	280	267-280
VI-03	A Note on Transverse Beam Instabilities in Multisection Linacs	R. L. Gluckstern and D. E. Nagle and W. M. Visscher	281	283	281-283
VI-04	Simple Models for Beam-Blowup	W. M. Visscher	284	293	284-293
VI-05	Beam Loading Effects in Standing Wave Linacs	T. Nishikawa	294	302	294-302
VI-06	Optimization Criteria for Standing Wave Transverse Magnetic Deflection Cavities	J. Haimson	303	331	303-331
VI-07	Transients in Electron Linacs	B. Epsztein and J. P. Mangin	332	336	332-336
VI-08	Transient Wave Propagation in Linear Accelerators	J. Abraham	337	343	337-343
VII-01	The Duoplasmatron Source for the {CERN}-{PS} Linac	B. Vosicki and M. Buzic and A. Cheretakis	344	354	344-354
VII-02	The New {500 keV} Single-Gap Pre-injector Tube for the {CERN} Proton Synchrotron Linac	J. Huguenin and R. Dubois and R. El-Bez and G. Visconti	355	364	355-364
VII-03	Initial Tests of the {MURA} High Gradient Column	C. D. Curtis and J. A. Fasolo and G. M. Lee	365	370	365-370
VII-04	Duoplasmatron Source Performance at {MURA}	J. A. Fasolo and C. D. Curtis and G. M. Lee	371	382	371-382
VII-05	{Brookhaven}’s Recent Pre-Accelerator Progress	Th. J. M. Sluyters	383	389	383-389
VII-06	Expectations and Possible Interpretation of Ion Source Behavior	C. D. Curtis	390	393	390-393
VII-07	A Note on Some Emittance Measurements	H. Wroe	394	394	394-394
VIII-01	A {100 mA} Ion Beam with a Large Brightness	P. Bernard and J. Faure and R. Vienet	395	397	395-397
VIII-02	The “Pierce” Geometry: An Accelerating Column Design	C. R. Emigh	398	402	398-402
VIII-03	Design of a {20 MeV} Proton Linear Accelerator, New Injector for {SATURNE}	M. Promé	403	409	403-409
VIII-04	Status Report of the {Orsay} Linac	P. Brunet and L. Burnod	410	416	410-416
VIII-05	A New High Duty Cycle High Current {600 MeV} Electron-Positron Linear Accelerator of {Saclay}	A. Sokolovsky	417	425	417-425
VIII-06	Some Characteristic Problems of the New High Duty Cycle {Saclay} Electron Linac	H. Leboutet and G. Azam and R. Bensussan and X. Blaise and B. Delmon and J. P. Mangin and J. Soffer	426	434	426-434
VIII-07	Positron Acceleration in the Frascati {450 MeV} Linear Accelerator	R. Andreani and F. Amman and J. Haimson and C. Nunan	435	438	435-438
VIII-08	Results on Some {European} Linear Accelerators	G. Azam and J. Milcamps	439	448	439-448
IX-01	{805 MHz} {RF} Power Sources	D. E. Nagle	449	456	449-456
IX-02	The {RF} System for the AGS 200-{MeV} Linac	J. Sheehan and R. Witkover	457	459	457-459
IX-03	Fast {RF} Control Work at {LASL}	R. A. Jameson and W. J. Hoffert and N. A. Lindsay	460	466	460-466
IX-04	High-Duty-Factor Conversion of the {Berkeley Hilac}	B. H. Smith	467	470	467-470
IX-05	Computer Control of the {LAMPF} Accelerator	T. M. Putnam and H. S. Butler and J. J. Smith	471	478	471-478
IX-06	Some Effects of (Not Having) Computer Control for the {Stanford Linear Accelerator}	K. B. Mallory	479	482	479-482
IX-07	Digital Control of the {Bevatron}-Injector Inflection Trajectory	Allison, Jr., R. W. and R. A. Belshe and D. M. Evans and E. C. Hartwig and H. D. Lancaster and D. R. Machen and R. M. Richter and E. Zajec	483	490	483-490
X-01	{Stanford}’s Superconducting Accelerator Program	T. I. Smith and W. M. Fairbank and H. A. Schwettman and P. B. Wilson	491	493	491-493
X-02	Plans for a Superconducting {CW} Electron Linac at the {University of Illinois}	A. O. Hanson and D. Jamnik and C. S. Robinson and C. L. Rogers	494	496	494-496
X-03	Status Report on the Feasibility Study for a Superconducting Linear Accelerator for Protons	A. Citron	497	498	497-498
X-04	The Preparation and Performance of Superconducting Cavities	P. Flécher and J. Halbritter and R. Hietschold and K. Hofmann	499	501	499-501
X-05	An Investigation of the Slotted Iris Structure with Drift Tubes	H. Eschelbacher and H. Schopper	502	507	502-507
X-06	A One {MeV}/Nucleon Heavy Ion Linear Accelerator	C. Bieth and J. Arianer and J. Bosser and A. Cabrespine and Ch. Goldstein	508	510	508-510
