eid	title	author	firstpage	lastpage	pages
0266	Some Effects at High Intensities at the 76-{GeV} Proton Synchrotron	Yu. M. Ado and E. A. Myae and E. F. Troyanov	266	267	266-267
0268	Use of {USSR} Proton Accelerators for Medical Purposes	V. P. Dzhelepov and V. M. Abasov and B. V. Astrakhan and N. N. Blokhin and L. L. Goldin and V. S. Khoroshkov and V. N. Kisileva and V. I. Komarov and M. F. Lomanov and E. I. Minakova and K. K. Onossovsky and A. I. Ruderman and O. V. Savchenko and M. S. Vajnberg	268	270	268-270
0271	Current Understanding of {ERA}	L. J. Laslett	271	275	271-275
0276	The New {Garching Fast ERA} Experiment	C. Andelfinger and W. Hermann and D. Jacobi and A.U. Luccio and W. Ott and U. Schumacher and M. Ulrich	276	279	276-279
0280	{ERA} Research in {Japan}	S. Kawasaki and G. Horikoshi and K. Huke and H. Ishizuka and Y. Kubota and A. Miyahara and H. M. Saad	280	282	280-282
0283	Recent Experiments on {ERA} in {Karlsruhe}	C.-H. Dustmann and H. Krauth and L. Steinbock and W. Zernial	283	285	283-285
0286	Production and Dynamics of High Intensity Electron Beams	G. Brautti and I. Boscolo and R. Coisson and M. Leo and A. Luches and A. Tepore	286	288	286-288
0289	The Hydra Electron Beam Generator	T. H. Martin	289	293	289-293
0294	Aurora, an Electron Accelerator	B. Bernstein and I. Smith	294	300	294-300
0301	Further Studies of Collective Acceleration of Positive Particles Using Intense Electron Beams	B. Ecker and D. Drickey and S. Putnam	301	304	301-304
0305	Ion Acceleration in Electron Beams	G. W. Kuswa and L. P. Bradley and G. Yonas	305	309	305-309
0310	Status Report on the {University of Maryland Electron Ring Accelerator} Project	M. Reiser	310	314	310-314
0315	The Problem of Coupling a 120-{MHz} {RF} Cavity to a 700-{A}, 6-{MeV} Pulsed Electron Beam	R. K. Cooper and V. K. Neil and L. L. Reginato and B. H. Smith	315	317	315-317
0318	Self Fields and Particle Oscillation Frequencies in a Rotating Electron Sheet Beam Loaded with Positive Ions	M. Reiser	318	320	318-320
0321	Injector for {Maryland E R A} Project: Design Features and Initial Performance	J. K. Burton and J. J. Condon and F. L. Desrosier and A. C. Greenwald and J. M. Henness and W. H. Lupton and M. J. Rhee and G. T. Zorn	321	323	321-323
0324	Stopping of an Electron Ring by Induced Image Currents in Resistive Wire Loops	J. G. Kalnins and H. Kim and J. G. Linhart	324	326	324-326
0327	Envelope Instabilities in Relativistic Electron Rings	D. M. LeVine	327	329	327-329
0330	Negative Mass Instability in Hollow Cylinders	D. M. LeVine	330	332	330-332
0333	Generation and Diagnosis of {TW/cm²} Electron Beams	D. G. Pellinen and S. E. Heurlin	333	335	333-335
0336	Collective Acceleration of Intense Ion Beams in Vacuum	J. S. Luce and T. R. Crites and H. L. Sahlin	336	341	336-341
0342	Multiturn Injection into the Converted {AGS}	J. Claus and H. N. Brown and M. Month and van Steenbergen, A.	342	346	342-346
0347	A Device for Bunching Relativistic Electrons	J. W. Beal and R. K. Cooper and W. A. Lamb and V. K. Neil and D. S. Prono and L. Smith and D. F. Wright	347	350	347-350
0351	Synchronous Transfer of Beam from the {NAL} Fast Cycling Booster Synchrotron to the {NAL} Main Ring System	J. A. Dinkel and J. E. Griffin and E. L. Hubbard and R. E. Peters and L. C. Teng	351	354	351-354
0355	Power Supply for {NAL} Main Ring System	R. Cassel	355	359	355-359
0360	Design Fundamentals of Current Transductors for Large {DC} Currents	L. T. Jackson	360	364	360-364
0365	An All Solid-State Line-Type Modulator for {10 %} Duty Factor	P. J. T. Bruinsma and E. Heine and G. J. Koenderink and van Koeverden Brouwer, J. J.	365	368	365-368
0369	Klystrons for Accelerator Improvements	R. L. Stringall and J. V. Lebacqz and D. L. Russell	369	372	369-372
0373	Operation of the Spear {RF} System	M. A. Allen and R. A. McConnell	373	377	373-377
0378	Twin-Tank Accelerator for {High-Voltage Electron Microscopy (HVEM)}	G. Reinhold and R. Gleyvod	378	382	378-382
0383	University of Rochester Tandem Upgrading	K. H. Purser	383	386	383-386
0387	A Fast-Spinning Stripper Mod {II} for the {Zero Gradient Synchrotron (ZGS)} Booster	A. J. Gorka	387	391	387-391
0392	Resonance Injection in the Superconducting Stretcher Ring	T. K. Khoe and R. J. Lari	392	394	392-394
0395	{Zero Gradient Synchrotron (ZGS)} High Energy Polarized Proton Beam Program-Injector System	E. F. Parker and J. Madsen and N. Sesol and R. L. Stockley and R. E. Timm	395	396	395-396
0397	{Pole Face Winding (PFW)} Equipment for Eddy Current Correction at the {Zero Gradient Synchrotron (ZGS)}	D. E. Suddeth and D. R. Schmitt and R. E. Timm and A. J. Wright	397	398	397-398
0399	An {R.F.} Modulated Electron Gun for {NINA} Injection Equipment	D. E. Poole and T. R. Charlesworth and O. Gunnill and D. G. Peters and G. Saxon	399	400	399-400
0401	New Methods for Multiturn Injection into Synchrotrons	P. F. Meads	401	402	401-402
0403	Beam Terminology	J. H. Fink and B. W. Schumacher	403	404	403-404
0405	A Pulsed Ferrite Inflector for the Emittance Measuring Device of the {Chalk River High Current Test Facility}	Pachner, Jr., J.	405	406	405-406
0407	Electrical Design of a Small Solid State Energy Discharge Power Supply	A. T. Visser and J. D. McCarthy and C. H. Rode	407	408	407-408
0409	The {NAL} Booster Synchrotron Magnet Power Supply Servo	A. R. Donaldson and R. A. Winje	409	410	409-410
0411	Performance of Transductors for Precision High-Current Measurement and Control	R. E. Fuja and W. F. Praeg	411	413	411-413
0414	{NAL} Quadrupole Power Supply Active Filter	R. J. Yarema and R. L. Cassel	414	415	414-415
0416	A New {RF} System for the {ORIC}	S. W. Mosko	416	417	416-417
0418	A 2nd {RF} System for {Nimrod}	E. G. Sandels and R. A. Church and I. S. K. Gardner and H. C. Whitby	418	421	418-421
0422	Two Megawatts {RF} Power Tetrode	S. G. McNees	422	423	422-423
0424	Half-Integer Resonance Extraction for the {NAL} Accelerator	H. T. Edwards and W. W. Lee and J. D. McCarthy and S. Ohnuma and L. C. Teng	424	427	424-427
0428	The {NAL} Beam Splitting System	L. W. Oleksiuk and R. A. Andrews and E. J. Bleser and C. H. Rode	428	433	428-433
0434	Simultaneous Resonance Extraction	E. A. Crosbie and T. K. Khoe and R. J. Lari and L. G. Ratner	434	437	434-437
0438	The Fast Shaving Ejection for Beam Transfer from the {CPS} to the {CERN} {300 GeV} Machine	C. Bovet and D. Fiander and L. Henny and A. Krusche and G. Plass	438	441	438-441
0442	A New Approach to the Transport of Heavy Charged Particles	E. A. Youssef and F. S. Chute and F. E. Vermeulen	442	446	442-446
0447	Production of a High Energy, High Power Polarized Photon Beam at {SLAC}	R. L. Eisele and D. J. Quinn and J. P. Rutheford and D. J. Sherden and M. A. Shupe and R. H. Siemann and C. K. Sinclair	447	450	447-450
0451	{SLAC} Storage Ring Beam Transport Instrumentation and Operation	T. V. Huang and D. Tsang	451	454	451-454
0455	High Intensity Stopped {K}-Meson Beam at the {Bevatron}	R. C. Sah and E. H. Hoyer and R. A. Kilpatrick and K. H. Lou and R. C. Wolgast	455	458	455-458
0459	New Approach to Shielding Calculations for Very High Energy Accelerators	Van Ginneken, A. and M. Awschalom	459	461	459-461
0462	Preliminary Observations on the Response of Accelerator Shielding Blocks to Earthquake Motions	W. G. Godden and M. Aslam and W. Peregoy and D. T. Scalise	462	464	462-464
0465	Tests and Description of Beam Containment Devices and Instrumentation—A New Dimension in Safety Problems	D. Walz and D. Busick and T. Constant and K. Crook and D. Fryberger and G. Gilbert and J. Jasberg and L. Keller and J. Murray and R. Vetterlein	465	471	465-471
0472	Rotating Target for Intense 14-{MeV} Neutron Source	R. Booth and H. H. Barschall and E. Goldberg	472	474	472-474
0475	Density Profiles of a Supersonic Jet Target	J. E. Brolley	475	477	475-477
0478	Space Charge Effects in High Current Linear Accelerator Transport Systems	G. Mavrogenes and T. Khoe and W. Wesolowski	478	480	478-480
0481	Beam Handling System of the {University of Maryland} Cyclotron	R. E. Berg and W. P. Johnson	481	482	481-482
0483	A {300 GeV} High Quality Electron and Pion Beam at the New Generation Proton Accelerators	Z. G. T. Guiragossian and R. E. Rand	483	487	483-487
0488	Problems in Design and Operation of {SuperHILAC} Beam Transport Systems	F. B. Selph	488	490	488-490
0491	Mechanical Design of a Delay Line for the Astron Linear Accelerator Beam Transport	C. A. Hurley	491	492	491-492
0493	Minimization of Aberrations in Beam Line Design	D. C. Carey	493	495	493-495
0496	Tuning and Operation of the External Proton Beam Lines of the {Zero Gradient Synchrotron (ZGS)}	R. B. Wehrle and Y. Cho and G. A. Concaildi and A. J. Creer and R. D. George and R. W. Nielsen	496	498	496-498
0499	Radiation Survey Vehicle for the {NAL} Main Ring	R. E. Shafer and D. D. Jovanovic	499	501	499-501
0502	Operation of the {NAL} Main Ring Extraction System	E. J. Bleser and H. T. Edwards and H. E. Fisk and F. Hornstra and J. D. McCarthy and L. W. Oleksiuk and Peoples, Jr., J. and C. H. Rode	502	504	502-504
0505	The {NAL} Computer Control System	R. E. Daniels and R. W. Goodwin and M. R. Storm	505	509	505-509
0510	Operational Aspects of the {SLAC} Main Control Center	K. Crook and T.V. Huang and G. Nelson and V. Price	510	513	510-513
0514	{CAMAC} Experimental Beam Line Control System	L. J. Hepinstall and E. J. Barsotti and H. C. Lau	514	517	514-517
0518	A New Diagnostic System for Studying the Injector and Injection at the {Zero Gradient Synchrotron (ZGS)}	R. L. Kustom and F. R. Brumwell and E. F. Parker and C. W. Potts and R. B. Wehrle	518	522	518-522
0523	The Beam Diagnostics System, Serving the {Serpukhov} Fast Ejection	J. Cupérus and F. Fabiani and I. Kamber and J. Nuttall	523	527	523-527
0528	Computer Programs for {AGS} Injection	H. N. Brown and J. Claus	528	530	528-530
0531	A Compact Programmable Control Panel for Computer Control Systems	B. L. Hartway	531	535	531-535
0536	Intercomputer Communications in Real Time Control Systems	S. R. Smith and R. W. Goodwin and M. R. Storm	536	540	536-540
0541	Some Effects of (Now Having) Computer Control for the {Stanford Linear Accelerator}	K. B. Mallory	541	543	541-543
0544	Detection of Optical Transition Radiation and Its Application to Beam Diagnostics	L. Wartski and J. Marcou and S. Roland	544	548	544-548
0549	Measurement of Bunch-Length by a Mode-Locked Laser with a Time Resolution of 10 Picoseconds	R. Fischer and R. Rossmanith	549	551	549-551
0552	A Modular Control System Utilizing {CAMAC} Hardware for Interfacing Remote Components at {NAL}	W. H. DeLuca and A. J. Maier and J. E. Michelsen and C. A. Swoboda	552	554	552-554
0555	Plotting of Beam Variation with $Q$ Value on the {5 GeV} Electron Syhnchrotron {NINA}	N. Marks and E. A. Hughes	555	557	555-557
0558	The Chromonitor, A Colorful Dynamic Graphic Display Terminal	F. H. G. Lothrop	558	560	558-560
0561	Advancements in Control Technology at the {Bevatron}	D. M. Evans and J. R. Guggemos and R. L. Kilgore and D. J. Rondeau	561	563	561-563
0564	Q Measurement with Swept {RC} Filter for Automatic Data Acquisition and Display	J. P. Potier and G. C. Schneider and E. Schulte	564	566	564-566
0567	A Precision Non-Linear Analog Transfer Function Generator	G. S. Tool	567	569	567-569
0570	Booster and Main Accelerator Phase Detector System for Cavity Tuning	E. F. Higgins	570	572	570-572
0573	Beam Monitoring in the Extraction Region of the {Nevis} Synchrocyclotron	E. Aslanides and R. C. Cohen and G. Dugan and W. Nagourney and L. Rosenstein and M. Slagowitz and K. Ziegler	573	575	573-575
0576	Controls for Operating and Processing the {MIT-LNS} Linac	J. N. Weaver	576	579	576-579
0580	Automatic Control Program for {SPEAR}	A. M. Boyarski and A. S. King and M. J. Lee and J. R. Rees and N. Spencer	580	583	580-583
0584	Computer-Based Visualization and Manipulation of Orbit Warps in the {Zero Gradient Synchrotron (ZGS)}	M. J. Knott and E. A. Crosbie	584	586	584-586
0587	Orthogonal Automatic Steering into the {Zero Gradient Synchrotron (ZGS)} Using Achromatic Magnets	R. E. Timm	587	589	587-589
0590	A Magnetic Beam Position Monitor	J. Claus	590	592	590-592
0593	{RF} Phase Control System	R. Sundelin and M. Tigner and E. von Borstel	593	595	593-595
0596	A System for Monitoring Proton Losses from the {NAL} Main Accelerator	R. A. Lundy and D. F. Sutter	596	598	596-598
0599	A Fast {RF} Structure Monitor	L. M. DeBall and D. E. Suddeth	599	601	599-601
0602	Air-Filled Ion Chamber Beam Loss Monitors for the {Zero Gradient Synchrotron (ZGS)}	D. E. Suddeth	602	604	602-604
0605	Derived Radial Position and Width Signals from a {TV} Beam Viewer	D. E. Suddeth	605	607	605-607
0608	Beam Phase Lock Using Amplitude Limited Pulse Comparison for the {Zero Gradient Synchrotron (ZGS)}	D. E. Suddeth and D. E. Bohringer	608	609	608-609
0610	A Fast Technique of Measuring Equilibrium Orbit Warps in the {Zero Gradient Synchrotron (ZGS)} at Injection	J. M. Bogaty	610	612	610-612
0613	Control of Ion Sources for the {Zero Gradient Synchrotron (ZGS)}	R. E. Timm	613	615	613-615
0616	{I.U.} Accelerator Control System Digital Multiplexer	T. E. Zinneman and B. M. Bardin	616	617	616-617
0618	Computer Control of the {Oak Ridge Isochronous Cyclotron}	C. A. Ludemann and J. M. Domaschko and K. Hagemann and S. W. Mosko	618	620	618-620
0621	Application of Crossbar Relays to the Control of a Buncher Ring	W. Gagnon and H. Lane and L. L. Reginato and B. H. Smith	621	623	621-623
0624	Position and Intensity Monitoring System for the {SPEAR} Transport System at {SLAC}	A. K. Chang and H. K. Kang and R. S. Larsen	624	630	624-630
0631	{CAMAC} Crate Controller for a Serial Control System	E. J. Barsotti	631	632	631-632
0633	The Central Control Room Man-Machine Interface at the {Clinton P. Anderson Meson Physics Facility (LAMPF)}	B. L. Hartway and J. Bergstein and C. M. Plopper	633	635	633-635
0636	Experience with Touch Panel Control at {SLAC}	W. C. Struven	636	637	636-637
0638	Monitoring the Beams in {SPEAR} with Synchrotron Light	A. P. Sabersky	638	641	638-641
0642	Computer Control of {Brookhaven} {200 MeV} Linac	I. Weitman	642	644	642-644
0645	Thin Film Mapping of Electron Accelerators	R. G. Little and M. B. Kime	645	647	645-647
0648	The Satellite Minicomputer--A Practical Solution to Accelerator Control	D. R. Machen and J. M. Potter	648	649	648-649
0650	Digital Filter Design for Accelerator Data and Control Systems	D. R. Machen	650	652	650-652
0653	{PRIMET}: A Versatile Accelerator Timing System	C. A. Swoboda and R. E. Daniels and H. C. Lau and A. Tummillo	653	655	653-655
0656	The Orbit Measurement System of the {CERN} {800 MeV} {PS Booster}	M. Rabany	656	658	656-658
0659	The {800 MeV} Measurement Line of the {CERN} {PS Booster}	G. Baribaud and C. Metzger	659	661	659-661
0662	High Energy Low Intensity Beam Profile Monitor	R. Chehab and C. N. Ngoc	662	664	662-664
0665	A Wide Band Current Monitor Based on Pulsed Transformer Techniques	D. F. Sutter	665	667	665-667
0668	Summary of International Progress on Superconducting Magnets	W. S. Gilbert	668	674	668-674
0675	The {Argonne} Superconducting Magnet for Polarized Proton Targets	J. Bywater and H. Desportes and D. Hill and C. Laverick and A. Moretti and J. Purcell	675	677	675-677
0678	Studies of Performance and Field Reproducibility of a Precision {40 kG} Superconducting Dipole Magnet	J. Allinger and G. Danby and B. DeVito and S. Hsieh and J. Jackson and A. Prodell	678	682	678-682
0683	Superconducting Beam-Transport Magnets for the {Bevatron}	W. S. Gilbert and R. C. Acker and W. F. Eaton and R. A. Kilpatrick and R. B. Meuser and F. L. Toby and F. Voelker	683	687	683-687
0688	Superconducting Magnet Models for {ISABELLE}	P. F. Dahl and R. Damm and D. D. Jacobus and C. Lasky and A. D. McInturff and G. H. Morgan and G. Parzen and W. B. Sampson	688	692	688-692
0693	Results of Physical Tests on Polymer Materials at Cryogenic Temperatures	Van de Voorde, M.	693	697	693-697
0698	High Field Pulsed Magnets for a Bubble Chamber Beam	R. T. Elliott and P. S. Flower	698	702	698-702
0703	The Computation of Poleface Winding Systems Yielding Independent Multipole Fields within the Aperture of Notably Alternating Gradient Synchrotron Magnets	A. Asner and R. Holsinger and C. Iselin	703	707	703-707
0708	Radiation Resistant Magnet Coils from Hard Anodized Aluminum Conductor	M. M. Holland and J. Shill	708	712	708-712
0713	Design of Sextupole Magnet for {200 GeV} Line	J. A. Satti and S. C. Snowdon	713	715	713-715
0716	Modification of {LINDA} to Treat the Grain Orientation Effect	K. Endo and T. Igarashi and T. Kasuga and M. Kihara and E. Takasaki	716	718	716-718
0719	Septum Magnets for Secondary Beams at {NAL}	Carrigan, Jr., R. and J. Jagger and G. Michelassi and K. Pretzl and J. Satti and S. Snowdon and A. Wehmann	719	722	719-722
0723	Calculations on High Field Magnets with Iron Yokes and Rectangular Coils	H. H. Umstütter	723	725	723-725
0726	Design of Dipole Magnet with Circular Iron Shield	W. W. Lee and S. C. Snowdon	726	728	726-728
0729	{Zero Gradient Synchrotron} Coil Failures in 1970-71 Analysis and Subsequent Remedial Action	J. H. Martin and D. Jovanovic and L. G. Lewis and E. G. Pewitt and W. Praeg and V. J. Sevcik	729	730	729-730
0731	Improvements in the {Zero Gradient Synchrotron (ZGS)} Main Magnet Coil Protection	D. E. Suddeth and C. W. Potts and W. F. Praeg	731	733	731-733
0734	Main Magnet Coil Diagnostic Tests at the {Zero Gradient Synchrotron (ZGS)}	D. E. Suddeth	734	736	734-736
0737	A Pulsed Beam Shutter for Radio-Frequency Separated Beams at the {ZGS}	W. F. Praeg	737	739	737-739
0740	Multiparticle Spectrometer Magnet ({MPS})	E. E. Halik	740	741	740-741
0742	Resistive Measurements on an Improved {Nb-Al-Ge} Superconducting Ribbon	T. W. Eagar and R. M. Rose	742	743	742-743
0744	Preliminary Modeling and Testing of Ramped Superconducting Dipoles for the {NAL} Doubler	P. J. Reardon and R. McCracken and M. A. Otavka and D. Richied and B. P. Strauss and D. Sutter	744	746	744-746
0747	Operating Results from {ISR}	W. Schnell	747	751	747-751
0752	Operating Results from {SPEAR}	{SPEAR Storage Ring Group}	752	755	752-755
0756	Storage Ring Program in {Novosibirsk}	A. N. Skrinsky	756	759	756-759
0760	Beam Induced Gas Desorption in the {CERN} {Intersecting Storage Rings}	O. Gröbner and R. S. Calder	760	764	760-764
0765	Dependence of Phase Instabilities on Bunch Length at the {CEA}	R. Averill and R. Eddy and A. Hofmann and R. Little and H. Mieras and G. Nicholls and J. M. Paterson and K. Strauch and G. A. Voss and H. Winick	765	767	765-767
0768	Beam Dynamics on {ACO}	The Orsay Storage Ring Group	768	772	768-772
0773	The Creation of Small Interaction Diamonds in the {CERN} {Intersecting Storage Rings (ISR)}	P. J. Bryant	773	776	773-776
0777	{ISABELLE} {e-p} Option	R. Chasman and G. A. Voss	777	781	777-781
0782	The Proposed {Desy} Proton-Electron Colliding Beam Experiment	A. Febel and H. Gerke and M. Tigner and H. Wiedemann and B. H. Wilk	782	785	782-785
0786	{PEP} Lattice Design	R. Bangerter and A. Garren and P. Morton and J. Rees and L. Smith	786	789	786-789
0790	A Method of Analyzing the Momentum and Betatron Amplitude Distributions in a Circulating Beam	J. M. Peterson and J. B. Rechen	790	792	790-792
0793	Experimental Insertions for the {ISA}	R. Chasman and E. D. Courant and M. Month and van Steenbergen, A.	793	795	793-795
0796	Measurements of Stacking Efficiency in the {CERN} {Intersecting Storage Rings (ISR)}	de Jonge, M. J. and E. W. Messerschmid	796	798	796-798
0799	Improvement in Luminosity, Background and Chamber Protection with Beam Scrapers in the {ISR}	P. Bryant and K. Hübner and K. Johnson and H. Laeger and B. Montague and D. Neet and F. W. Schneider and S. Turner	799	801	799-801
0802	Measurement and Compensation of Space Charge Induced $Q$-Shifts in the {CERN} {Intersecting Storage Rings (ISR)}	B. Autin and J. P. Gourber and H. Laeger and L. Thorndahl	802	804	802-804
0805	Extension of the {CERN} {ISR} Energy by Acceleration of Stacked Beams	S. Hansen and K. N. Henrichsen and de Jonge, M.	805	806	805-806
0807	Transverse Feedback for the {ISR}	L. Thorndahl and A. Vaughan	807	808	807-808
0809	The Use of the {ISR} for Experiments	B. Couchman	809	812	809-812
0813	Performance of the {CEA} as an {e⁺e⁻} Storage Ring	R. Averill and W. F. Colby and T. S. Dickinson and A. Hofmann and R. Little and B. J. Maddox and H. Mieras and J. M. Paterson and K. Strauch and G. A. Voss and H. Winick	813	815	813-815
