eid	title	author	firstpage	lastpage	pages
0181	Beam Diagnostic Techniques, Observations and Comparison with Theory	A. Hofmann	181	188	181-188
0189	Industrial Applications of Heavy Ions Beams at {GANIL}	C. Bieth and D. Busardo and M. Van Den Bossche and P. Pierrard and E. Balanzat and J. Meslage	189	191	189-191
0192	Optimization of Cancer Treatment with Accelerator Produced Radiations	W. Pohlit	192	194	192-194
0195	The Renormalized Theory of Beam-Beam Interaction	Y. H. Chin	195	197	195-197
0198	Antoher Look at Coherent Longitudinal Instabilities of Bunched Beams	G. H. Rees	198	200	198-200
0201	Perspectives of Ultracold and Crystalline Ion Beams Cooled by Electrons	I. Hofmann and S. Cocher and J. Struckmeier	201	203	201-203
0204	Results from Electron Cooling Experiments at {LEAR}	A. Wolf and S. Baird and J. Bosser and M. Chanel and M. Girardini and H. Haseroth and C. E. Hill and P. Lefévre and R. Ley and D. Möhl and D. Manglunki and G. Molinari and A. Poncet and G. Tranquille and J.-L. Vallet and C Habfast and J. Stein and L. Hütten and H. Poth and W. Schwab and B. Seligmann and M. Wörtge and P. Dittner	204	206	204-206
0207	Effects of Ions in the {Sincrotrone Trieste}	C. J. Bocchetta and A. Wrulich	207	209	207-209
0210	The Trieste Synchrotron Light Source {ELETTRA}	A. Wrulich	210	214	210-214
0215	The {CERN} {pp̄} Facility	E. Jones	215	217	215-217
0218	The {Large Hadron Collider} in the {LEP} Tunnel	G. Brianti	218	222	218-222
0223	The {Tevatron}: Status and Outlook	G. Dugan	223	227	223-227
0228	Brief Comments on Nonlinear Dynamics Studies in Storage Rings	A. W. Chao	228	232	228-232
0233	The {IHEP} Accelerating and Storage Complex — Status and Development	A. I. Ageev and V. N. Alferov and A. D. Artemov and V. I. Balbekov and A. F. Dunaitsev and Yu. S. Fedotov and V. I. Gridasov and G. G. Gurov and V. V. Komarov and O. V. Kurnayev and V. N. Lebedev and A. A. Logunov and K. P. Myznikov and V. G. Rogozinsky and L. D. Soloviev and I. I. Sulygin and N. M. Tarakanov and V. A. Yarba and V. V. Yelistratov and E. L. Makeev and V. L. Rozhkov and A. A. Vasiliev and G. P. Vorontsov and G. A. Gusev and B. G. Karasev and M. N. Kosyakin and I. F. Malyshev and I. V. Mozin and A. V. Nikiforovsky and V. I. Peregud and O. B. Senchenko and P. V. Smirnov and V. A. Titov and S. N. Vasiliev and A. D. Artemov	233	236	233-236
0237	The {SSC} Project	J. Peoples	237	241	237-241
0242	The Progress of Low Energy Particle Accelerators in {China}	C. Chen and W. Zhao	242	248	242-248
0249	Energy Production with Accelerators	R. Bock	249	256	249-256
0257	A High-Brightness Photo-Injector for a {Free Electron Laser} Proposal	S. Joly and Cl. Bonetti and F. Cocu and J. P. De Brion and R. Dei-Cas and J. Frehaut and G. Haouat and A. Herscovici and H. Leboutet and J. Sigaud	257	259	257-259
0260	Plasma Lens Work at {UCLA}	T. C. Katsouleas and J. M. Dawson and J. J. Su	260	262	260-262
0263	Large Cylindrical Lenses with Solid and Liquid Lithium	B. F. Bayanov and A. D. Chernyakin and Yu. N. Petrov and G. I. Silvestrov and T. V. Sokolova	263	265	263-265
0266	Dynamic Aperture Measurements at the {Tevatron}	J. M. Peterson and A. W. Chao and D. E. Johnson and S. G. Peggs and C. G. Saltmarsh and L. C. Schachinger and R. M. Talman and D. A. Edwards and D. Finley and N. M. Gelfand and R. E. Gerig and M. Harrison and R. P. Johnson and N. Merminga and M. Syphers and P. L. Morton	266	268	266-268
0269	Towards a Slow Extraction System for the {TRIUMF} Kaon Factory Extender Ring with {0.1 %} Losses	U. Wienands and R. V. Servranckx	269	271	269-271
0272	Tuning the Arcs of the {SLAC Linear Collider}	T. Fieguth and P. Bambade and T. Barklow and K. L. Brown and F. Bulos and D. L. Burke and G. E. Fischer and J. Haïssinski and A. Hutton and C. Jung and S. A. Kheifets and S. Komamiya and T. Mattison and J. J. Murray and N. Phinney and M. Placidi and D. M. Ritson and M. Sands and J. C. Sheppard and W. Spence and N. Toge and A. Weinstein	272	274	272-274
0275	Beam Phase Space Determination at 50 GeV in the SLC Linac	J. T. Seeman and C. Adolphsen	275	278	275-278
0279	Status and Future of the {3D} {Mafia} Group of Codes	F. Ebeling and R. Klatt and F. Krawzcyk and E. Lawinsky and T. Weiland and S. G. Wipf and B. Steffen and T. Barts and J. Browman and R. K. Cooper and G. Rodenz	279	284	279-284
0285	Linear Collider Studies in {Europe}	W. Schnell	285	289	285-289
0290	The ‘Future’ in High-Energy Physics	C. Rubbia	290	302	290-302
0303	Peculiarities of the {IHEP} Accelerator Complex Operation with the Fast-Cycling Booster	Yu. M. Ado and A. D. Ermolaev and A. S. Gurevich and O. P. Lebedev and E. A. Myae and P. T. Pashkov and A. V. Smirnov and V. I. Stolpovsky and E. F. Troyanov	303	304	303-304
0305	The Prospects of Improvemnt and Development of Accelerator Installations at {Yerevan Physics Institute}	A. Ts. Amatuni and A. S. Alexanyan and R. O. Avakyan and A. Z. Babayan and H. V. Badalyan and A. I. Baryshev and H. L. Bayatyan and K. Sh. Egiyan and I. P. Karabekov and E. M. Laziev and H. A. Martirossyan and S. G. Matinyan and H. G. Mkrtchyan and V. Ts. Nikogossyan and H. G. Oxuzyan and M. L. Petrossyan and K. A. Sadoyan and Kh. A. Simonyan and V. I. Tsakanov and A. R. Tumanyan and L. A. Vardanyan and H. H. Vartapetyan	305	307	305-307
0308	The {CERN} Antiproton Collector Ring	B. Autin and M. Battiaz and M. Bell and R. Billinge and J. Boucheron and G. Carron and F. Caspers and V. Chohan and J. Gruber and W. Hardt and M. Harold and H. Horisberger and C. D. Johnson and E. Jones and H. Koziol and P. Krejcik and M. Legras and R. Maccaferri and H. F. Malthouse and P. Marchand and M. Martini and S. Maury and K. Metzmacher and S. Milner and M. Paoluzzi and P. Pearce and F. Pedersen and B. Pincott and W. Pirkl and A. Poncet and L. Rinolfi and L. Sermeus and T. R. Sherwood and G. Suberlucq and A. H. Sullivan and A. Susini and L. Thorndahl and H. H. Umstätter and J. Vlogaert and N. Walker and D. J. Williams and E. J. N. Wilson and C. Zettler and van der Meer, S. and S. X. Fang and Z. Y. Guo	308	310	308-310
0311	Initial Design of a $ϕ$ Factory	J. I. M. Botman and H. L. Hagedoorn and van Middelkoop, G. and F. C. Erné and W. Hoogland and G. Luijckx and R. Maas	311	313	311-313
0314	{CLIO}: {Free Electron Laser} in {Orsay}	J. C. Bourdon and R. Belbéoch and P. Brunet and Y. Dabin and Enomoto and A. and B. Mouton and J. P. Perrine and E. Plouviez and R. Pointal and M. Renard and M. Roch and J. Rodier and P. Roudier and Y. Thiéry and P. Bourgeois and P. Carlos and J. Fagot and J. L. Fallou and C. Hézard and J. C. Malglaive and D. T. Tran and M. Bergher and R. Chaput and A. Dael and J. M. Ortéga and Y. Pétroff and M. Velghe	314	316	314-316
0317	Upgrade {JULIC} as Injector for {COSY-JÜLICH}	W. Bräutigam and H. G. Böge and H. Beuscher and R. Brings and P Wucherer	317	319	317-319
0320	Recent Developments on the {TRIUMF} KAON Factory Proposal	M. K. Craddock and R. Baartman and R. Burge and T. Enegren and S. Koscielniak and R. E. Laxdal and G. H. Mackenzie and R. L. Poirier and K. Reiniger and R. V. Servranckx and T. Suzuki and U. Wienands and M. Zach	320	322	320-322
0323	Progress Report on the {Milan} Superconducting Cyclotron	E. Acerbi and F. Alessandria and G. Baccaglioni and G. Bellomo and C. Birattari and A. Bosotti and F. Broggi and G. Cortesi and C. De Martinis and E. Fabrici and A. Ferrari and D. Giove and A. Giussani and W. Giussani and P. Michelato and C. Pagani and G. Rivoltella and L. Rossi and L. Serafini and A. Sussetto and V. Torri and G. Varisco and L. Kai and G. Cuttone and G. Raia	323	325	323-325
0326	The Upgrading of the {TRIUMF} Facility to {500 μA} Operation	G. Dutto and R. Baartman and E. W. Blackmore and D. A. Dohan and K. R. Kendall and R. Laxdal and G. H. Mackenzie and A. Otter and P. W. Schmor and R. Worsham and M. Zach	326	328	326-328
0329	Commissioning of the {SPS} as {LEP} Injector	K. Cornelis and R. Schmidt	329	331	329-331
0332	General Description of the {ESRF} Injector System	J. M. Filhol and P. Berkvens and J. F. Bouteille	332	334	332-334
0335	The Superconducting {130 MeV} Electron Accelerator at {Darmstadt}	V. Aab and K. Alrutz-Ziemssen and R. Amend and D. Flasche and H.-D. Gräf and V. Huck and K. D. Hummel and M. Knirsch and F. Lindqvist and W. Lotz and A. Richter and T. Rietdorf and U. Schaaf and S. Simrock and E. Spamer and A. Stiller and O. Titze and H. Weise and W. Ziegler and H. Heinrichs and H. Piel and J. Pouryamout	335	338	335-338
0339	Status Report on the Superconducting Cyclotron {AGOR}	S. Gales	339	341	339-341
0342	Injector {AVF} Cyclotron at {RIKEN}	A. Goto	342	344	342-344
0345	Heavy Ion Cyclotrons Development at {JINR}	G. G. Gulbekyan	345	346	345-346
0347	Diagnostics and Commissioning Progress on {ISIS}	M. R. Harold and R. G. Bendall and A. I. Borden and I. S. K. Gardner and M. A. Clarke-Gayther and C W. Planner and G. H. Rees and N. D. West	347	349	347-349
0350	{CRYRING} - A Heavy-Ion Storage and Synchrotron Ring	C. J. Herrlander and K. -G. Rensfelt and J. Starker	350	352	350-352
0353	Initial Operation of the Reconstructed {Uppsala} Synchrocyclotron	S. Holm and P.-U. Renberg	353	355	353-355
0356	{ELSA} — The Continuous Beam Accelerator at {Bonn}	D. Husmann and K. H. Althoff and A. Dreist and H. Ebeling and O. Kaul and C. Lippert and M. Neckenig and H. -D. Nuhn and W. Schauerte and M. Schillo and F. J. Schittko and C. Wermelskirchen and von Drachenfels, W.	356	358	356-358
0359	The {LBL} {Advanced Light Source}	A. Jackson and S. Chattopadhyay and R. Keller and C. Kim and H. Nishimura and F. Selph and M. Zisman	359	361	359-361
0362	The {MIT-BATES} South Hall Ring	K. D. Jacobs and R. D. Biron and J. B. Flanz and E. Ihloff and S. Kowalski and Z. Radouch and T. Russ and A. Saab and W. W. Sapp and C. Williamson and A. Zolfaghari and J. Zumbro	362	364	362-364
0365	The {Heidelberg} Test Storage ring for Heavy Ions {TSR}	E. Jaeschke and W. Arnold and G. Bisoffi and M. Blum and A. Friedrich and C. Geyer and M. Grieser and D. Habs and H. W. Heyng and B. Holzer and R. Ihde and M. Jung and D. Krämer and K. Matl and R. Neumann and A. Noda and W. Ott and B. Povh and R. Repnow and F. Schmitt and M. Steck and E. Steffens	365	367	365-367
0368	The τ-CHARM Factory Storage Ring	J. M. Jowett	368	370	368-370
0371	Four Years of Operation of the {180 MeV} {CW} Electron Accelerator {MAMI A}	K. -H. Kaiser and H. Herminghaus and R. Herr and H. J. Kreidel and J. Müller and H. Mussel	371	373	371-373
0374	{STA} {SR} Project	H. Kamitsubo and S. H. Be and M. Hara and R. Nagaoka and S. Sasaki and T. Wada	374	376	374-376
0377	{EURAC}: A Concept for a {EURopean ACcelerator} Neutron Source	W. Kley and G. R. Bishop and A. Sinha and J. M. Perlado	377	379	377-379
0380	The Dedicated Synchrotron Radiation Source	V. V. Anashin and N. G. Gavrilov and E. S. Gluskin and E. I. Gorniker and B. A. Gudkov and A. S. Kalinin and V. N. Korchuganov and G. N. Kulipanov and E. A. Kuper and G. Ya. Kurkin and V. S. Kuzminykh and S. N. Kuznetsov and E. B. Levichev and Yu. G. Matvejev and A. S. Medvedko and V. N. Osipov and V. E. Panchenko and S. P. Petrov and V. M. Petrov and A. N. Skrinsky and Yu. F. Tokarev and E. M. Trakhtenberg and V. A. Ushakov and A. G. Valentinov and V. G. Veshcherevich and P. D. Vobly and V. I. Yukhlin and N. I. Zubkov	380	382	380-382
0383	The {Strasbourg} Project. A {35 MV} {Vivitron} Tandem	M. Letournel	383	385	383-385
0386	Status Report on the {LEP Pre-Injector (LPI)} and the {Proton Synchrotron (PS)} as a {e⁺e⁻} Accelerator	J. H. B. Madsen and S. Battisti and D. Blechschmidt and R. Cappi and J. P. Delahaye and B. Frammery and K. Hübner and A. Krusche and H. Kugler and A. Poncet and J. P. Potier and A. Riche and J. P. Riunaud and D. J. Warner	386	388	386-388
0389	The Bypass Project at {DORIS II}	W. Brefeld and H. Nesemann and J. Robach	389	391	389-391
0392	Performance of the {CERN} Antiproton Accumulator Complex	B. Autin and G. Carron and F. Caspers and V. Chohan and C. D. Johnson and E. Jones and H. Koziol and P. Krejcik and Le Dallic, G. and M. Martini and S. Maury and C. Metzger and F. Pedersen and L. Rinolfi and J. C. Schnuriger and T. R. Sherwood and C. S. Taylor and L. Thorndahl and N. Walker and E. J. N. Wilson and van der Meer, S.	392	394	392-394
0395	The Use of the {Fermilab} Antiproton Accumulator in Medium Energy Physics Experiments	V. Bharadwaj and M. Church and E. Harms and S. Y. Hsueh and W. Kells and J. MacLachlan and W. Marsh and J. McCarthy and J. Peoples and D. Peterson and X. Q. Wang and N. Pastrone	395	397	395-397
0398	Status of the Project {COSY} {Jülich}	U. Pfister	398	400	398-400
0401	{Bratislave} Multipurpose Neutron Source	J. Pivarc and S. Hlavác	401	403	401-403
0404	The {Fermilab} Antiproton Source: Recent Performance and Improvements	P. A. Rapidis and L. Bartoszek and V. K. Bharadwaj and G. Dugan and M. Gormley and J. Hangst and D. J. Harding and S. Y. Hsueh and W. Kells and J. Marriner and R. Pasquinelli and R. Peters and D. Peterson and J. Petter and S. Mtingwa	404	406	404-406
0407	Performance of {ISIS} at {Julic}	J. Reich and H. Beuscher and W. Bräutigam and P Wucherer and H. L. Hagedoorn	407	409	407-409
0410	Status of the {Celsius} Project	D. Reistad	410	412	410-412
0413	Project of Small-Dimensional {200 MeV} Proton Synchrotron	I. I. Averbukh and A. D. Cherniakin and L. L. Danilov and M. M. Karliner and V. N. Karusyuk and V. N. Marusov and G. I. Silvestrov and V. G. Volokhov and T. A. Vsevolozhskaya	413	415	413-415
0416	Status of the {AGS} Upgrade Project	Th. Sluyters	416	417	416-417
0418	Performance of the {Daresbury} {SRS} with an Increased Brilliance Optic	V. P. Suller and J. N. Corlett and D. M. Dykes and E. A. Hughes and J. S. MacKay and M. W. Poole and P. D. Quinn and S. L. Thompson and R. P. Walker	418	420	418-420
0421	The {ALPI} Project at the {Laboratori Nazionali Di Legnaro}	G. Bassato and G. P. Buso and F. Cervellera and A. Dainelli and A. Facco and P. Favaron and G. Fortuna and J. D. Larson and V. Palmieri and R. Pengo and A. M. Porcellato and K. Rudolph and B. Tiveron and I. Ben-Zvi and J. S. Sokolowski	421	423	421-423
0424	{TRITRON} — A Superconducting Cyclotron with Separated Orbits	T. Grundey and W. Assmann and U. Buhl and L. Dietl and G. Hinderer and C. Riess and L. Rohrer and R. Savoy and U. Trinks	424	426	424-426
0427	{MEQALAC}, A {1 MeV} Multi-Channel {RF}-Accelerator for Light Ions	W. H. Urbanus and J. G. Bannenberg and R. G. C. Wojke and van Amersfoort, P. W. and H. Klein and A. Schempp and R. W. Thomae and T. Weis	427	429	427-429
0430	{Felix}: The {Dutch} {Free Electron Laser} for Infrared Experiments	van Amersfoort, P. W. and R. W. B. Best and W. J. Mastop and B. J. H. Meddens and D. Oepts and van der Geer, C. A. J. and van der Meer, A. F. G. and van der Wiel, M. J.	430	432	430-432
0433	The Near-Infrared {Free-Electron-Laser} Project at {Darmstadt}	V. Aab and K. Alrutz-Ziemssen and H. Genz and H.-D. Gräf and A. Richter and H. Weise and A. Gaupp	433	435	433-435
0436	Status of the {AGS} Booster Project	W. T. Weng	436	438	436-438
0439	The Use of {PETRA} as a {B}-Factory	H. Nesemann and W. Schmidt-Parzefall and F. Willeke	439	441	439-441
0442	Status Report on {RIKEN} Ring Cyclotron	Y. Yano	442	444	442-444
0445	Design of a Small Storage Ring in {JAERI}	H. Yokomizo and K. Ashida and T. Harada and Y. Harada and T. Harami and H. Hashimoto and M. Iizuka and M. Kabasawa and Y. Kawarasaki and H. Konishi and K. Mashiko and K. Nakayama and M. Ohkubo and S. Sasaki and N. Sasamoto and Y. Suzuki and K. Yamada and K. Yanagida	445	447	445-447
0448	The Heavy Ion Accelerator Facility {VICKSI}	W. Busse and B. Martin and R. Michaelsen and W. Pelzer and K. Ziegler	448	452	448-452
0453	Proposal for Racetrack Microtrons as Driver for a {Free Electron Laser} and as Injector for an Electron Storage Ring	J. I. M. Botman and H. L. Hagedoorn and W. J. G. M. Kleeven and Van Der Heide, J. A. and Van Genderen, W. and G. J. Ernst and W. J. Witteman	453	455	453-455
0456	The Design of Low Emittance Electron Storage Rings	L. N. Hand and S. Lundgren	456	458	456-458
0459	Recent Advances in Magnetically Driven Induction Linacs	L. L. Reginato and D. L. Birx	459	460	459-460
0461	Investigations on New Acceleration Schemes in {Dubna}	V. P. Sarantsev	461	463	461-463
0464	Design of Compact {RFQs}	A. Schempp	464	466	464-466
0467	Conceptual Design of a Ring Beauty Factory	A. N. Dubrovin and A. N. Skrinsky and G. M. Tumaikin and A. A. Zholents	467	469	467-469
0470	{Constant-Current Variable-Voltage (CCVV)} Accelerators	O. A. Anderson and W. S. Cooper and C. H. Kim and W. B. Kunkel and C. A. Matuk and P. Purgalis and L. Soroka and R. P. Wells	470	472	470-472
0473	Linacs with Self-Acceleration of Bunched Beam	B. Y. Bogdanovich and A. V. Shalnov	473	474	473-474
0475	Finite Plasma Wakefield Accelerator	L. Diakhaté	475	477	475-477
0478	A Scheme for a Fully Superconducting Electron Injector	M. Jablonka and B. Aune and Ch. Magne	478	480	478-480
0481	Optics Effects & Options for {TeV} Colliders - {II}	J. E. Spencer and B. Zotter	481	483	481-483
0484	Multipurpose Air-Core Sperconducting Cyclotrons	K. M. Subotic	484	486	484-486
0487	Electron Injector Designs for Light Source	D. Tronc and G. Meyrand and A. Setty and D. T. Tran	487	489	487-489
0490	The Resonant Wake Field Transformer Concept for Particle Acceleration	W. Bialowons and M. Bieler and H. -D. Bremer and F. -J. Decker and H. -Ch. Lewin and P. Schütt and G. -A. Voss and R. Wanzenberg and T. Weiland	490	492	490-492
0493	A Miniaturized High-Energy Wakefield Accelerator	Y. T. Yan	493	495	493-495
0496	Charge and Current Neutralization of High-Current Ion Beams	A. V. Agafonov and A. N. Lebedev and D. B. Orlov	496	498	496-498
0499	A Possible Self-Acceleration of a Relativistic Bunch of Electrons in Plasma	A. Ts. Amatuni and S. S. Elbakian and E. V. Sekhpossian	499	501	499-501
0502	Focusing Properties of a Plasma Wave	J. L. Bobin	502	504	502-504
0505	Calculation of Protonium Production Rate from Corotating Beams of {p̄} and {H⁻} in {LEAR}	R. Giannini	505	507	505-507
0508	General Considerations on a Damping Ring for a {5–10 GeV} Linear Collider	M Bassetti and S. Guiducci and L. Palumbo	508	510	508-510
0511	First Considerations on Stochastic Cooling in {Cosy} {Jülich}	N. Bongers and B. Dahmen and R. Danzglock and H. U. Hacker and A. Hardt and C. Henkel and K. Henn and M. Köhler and J. Launer and S. A. Martin and K. Nau and O. Ollech and S. Peischard and D. Prasuhn and A. Richert and H. Singer and K. Sobotta and W. Spie and H. Stockhorst and R. Wagner and A. Weinert and D. Weynen	511	513	511-513
0514	Maximum Beam Currents of Light Ions in {RFQs}	P. Junior and H. Deitinghoff and H. Klein	514	516	514-516
0517	The {RFQ} as a Neutron Source both for High Intensity and Micropulses	P. Junior	517	519	517-519
0520	{3D} - Magneto - and Electrostatic Calculations Using {MAFIA-S3}	F. Krawczyk and T. Weiland	520	522	520-522
0523	Electromagnetic Wave Generation with High Transformation Ratio by Intense Charged Particle Bunches	E. M. Laziev and V. M. Tsakanov and S. S. Vahanyan	523	525	523-525
0526	A Beam Energy Analysis and Monitoring System for Linear Accelerators	M. J. Lee and C. J. Blanchette and R. Iverson and D. Kleban and J. T. Seeman and M. Stanek and J. L. Turner and B. Zambre and G. S. Abrams and C. E. Adolphsen	526	528	526-528
0529	Influence on the Sign of an Ion Charge on Friction Force at Electron Cooling	N. S. Dikansky and N. Kh. Kot and V. I. Kudelainen and V. A. Lebedev and V. V. Parkhomchuk and A. A. Seriy and V. D. Shiltsev and A. N. Skrinsky and B. N. Sukhina	529	531	529-531
0532	Pulsars as Cosmic Ray Accelerators - The Critical Frequency	K. O. Thielheim	532	534	532-534
0535	Space Charge Neutralization of Modulated Ion Beams	T. Weis and R. Dölling and P. Gross and H. Klein and J. Wiegand	535	537	535-537
0538	The New {AGS} {H⁻} {RFQ} Preinjector	J. Alessi and J. M. Brennan and J. Brodowski and H. N. Brown and A. Kponou and K. Prelec and R. Witkover and R. Gough and J. Staples	538	540	538-540
0541	Lear Beam Stability Improvemnts Using {FFT} Analysis	E. Asséo and J. Bengtsson and M. Chanel	541	543	541-543
0544	{RF} Tuning and Initial {CW} Operation of {RFQ1}	B. G. Chidley and G. M. Arbique and R. M. Hutcheon and G. E. McMichael and J. Y. Sheikh	544	546	544-546
0547	Status Report on the Initial Cooling Studies in the {IUCF} Cooler	T. J. P. Ellison and D. L. Friesel and T. S. Sloan and O. Dermois	547	549	547-549
0550	The Injector Linac for the {Mainz} Microtron	H. Euteneuer and H. Braun and H. Herminghaus and R. Klein and H. Schöler and T. Weis	550	552	550-552
0553	Improvements to the {Fermilab} Main Ring	R. Gerig and S. Mane and S. Pruss and M. Syphers and D. Trbojevic	553	555	553-555
0556	Luminosity Lifetime in the {Tevatron}	G. P. Jackson and D. Finley and R. P. Johnson and Q. Kerns and J. McCarthy and R. Siemann and P. Zhang	556	558	556-558
0559	Progress towards {H⁻} Extraction at {TRIUMF}	R. E. Laxdal and G. H. Mackenzie and J. B. Pearson and G. Stinson and R Trellé and R. Worsham and M. Zach	559	561	559-561
0562	Performance Limitations of {LHC} Low Beta Insertions	B. T. Leemann and W. Scandale	562	564	562-564
0565	The Beam Slow Extraction From a Magnetic ring Based on Particle-Target Interaction	N. D. Malitsky and Yu. P. Severgin and I. A. Shukeilo	565	567	565-567
0568	Low Energy Injection in a Compact Synchrotron Radiation Storage Ring	N. Liu and G. Liu and T. Wang	568	569	568-569
0570	Variation of Longitudinal Beam Position and Profile during Acceleration in {Tristan} Main Ring	K. Nakajima and T. Kageyama and A. Ogata	570	572	570-572
0573	Low Energy Injection Scheme of Compact Electron Storage Rings	K. Nakayama and Y. Gomei	573	575	573-575
0576	A Preliminary Study of a Voltage Multiplying Structure for Electron Acceleration	A. Fiebig and G. Nassibian and Ch. Schieblich	576	578	576-578
0579	Stochastic Precooling of Heavy Fragments in the {ESR}	F. Nolden and D. Böhne and G. Berthes and B. Franzke and A. Schwinn	579	581	579-581
0582	Commissioning and Operating Experience with the {H⁻} Injection System for the Fast Cycling Synchrotorn of {ISIS}	C. W. Planner and S. C. Broughton and W. R. Evans and V. C. Kempson and V. Pugh and M. L. Yates	582	584	582-584
0585	Extraction of a Steady State Electron Beam from {HCD} Plasmas for {EBIS} Applications	A. Hershcovitch and V. Kovarik and K. Prelec	585	586	585-586
